stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,138.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,100.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.84,4.58,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.19,0,0,0,20.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.03,0,0,0,9.34,0,0,4.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.43,0,0,5.69,0,0,0,8.71,0,0.96,0,0,0,0,0,0,0,5.82,78.14,0,0,0,0.89,0,0,0,2.39,0,21.66,41.85,32.81,0,0,2.33,0,0
 24-34,0,0,0,29.61,1.9,0,6.25,0,6.28,0,3.66,0.66,0,0,0,0,0,9.56,1.94,0,8.42,340.15,0,0,0,0,0,0,0,0,0.69,5.68,14.14,69.83,0,0,12.26,0,0
 36-46,0,0,0,19.78,0,0,34.57,3.38,8.83,0,33.14,0,0,1.6,0,0,4.51,22.49,1.6,0,2.7,857.22,0,0,6.47,0,0,14.5,0,0,0,5.66,0.83,159.24,0,1.37,14.59,0,0
 48-58,0,0,0,32.37,0,0,193.53,6.7,4.48,1.61,59.63,0.38,5.32,2.62,0,0,4.19,14.27,1.37,0.79,9.68,1153.94,0,0.79,1.08,7.33,0.97,1.64,0,0,0,2.36,0,208.8,0,0,9.1,0,0.72
 60-70,0,0,0,21.21,2.92,0,406.35,12.88,3.83,0.72,60.24,0,4.42,1.6,0,0,0,35.55,1.01,1.33,11.43,1346.14,0,0,0,0.81,0.84,14.5,0,0,0,7.92,0,209.88,0,0.83,17.76,0,0
 72-82,0,0,0,14.73,1.45,0,424.01,1.63,1.82,7.55,68.02,0.56,1.32,1.16,0,0,0,54.25,1.09,9.39,0.58,1150.72,0,3.73,2.7,0,0,6.79,0,0,0,1.51,0,86.96,12.46,2.41,8.07,0.86,2.1
 84-94,0,0,0,24.19,0.73,0,362.95,4.47,7.13,0.77,50.03,2.28,2.51,11.77,2.4,0.67,0,48.1,3.42,1.07,7.28,714.41,3.84,2.81,5.54,0,0,5.83,0,0,0.58,4.73,0,93.81,31.62,3.76,14.46,6.18,0
 96-106,0,0.99,0,16.65,12.73,0,268.07,6.03,1.75,3.35,74.41,1.4,0,9.19,0.99,0,0,15.4,4.8,0.8,1.61,555,0,1.89,0.98,0,0,1.91,0,0,0,1.23,0,45.76,64,0,14.83,0.8,2.27
108-118,0,0,0,27.26,1.5,0,225.91,1.96,11.51,2.81,55.36,1.87,0,10.39,1.49,2.16,0,37.03,0,1.35,2.19,596.89,0,1.33,2.11,0,0,6.79,0,0,0.91,6.32,0,34.88,82.92,2.41,8.02,0.94,0
120,0,0,0,30.17,8.46,3.69,158.36,5.04,4.01,0,118.71,1.21,0,28.95,0,0,0,25.3,0,0,8.51,889.57,0,4.59,0,0,0,1.78,0,0,0,3.28,0,30.55,39.07,0,28.24,0,0
