stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.09,959.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.91,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.62,584.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.6,14.41,0,0,0,0,0,47.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.88,13.28,0,0,137.69,0,0,17.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.25,0,17.47,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.11,10.92,0,0,121.61,0,0,6.03,0,36.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.73,14.1,2.57,0,7.15,0,0,0,0.96,1.08,0,0,0,0,0,0,0,24.32,0,0,14.07,164.94,7.77,1,2.31,1.78,0,3.45,1.11,9.86,2.98,1.65,23.38,48.4,0,0,0,0,0
 24-34,0,0,0,1.29,23.18,0,0,17.08,0,0,0.89,8.41,0,0.8,0.71,0,0,0,11.09,1.47,42.13,0,0,11.29,430.31,1.59,6.64,1.33,0,0,6.54,0,1.1,2.43,0,5.61,109.55,0,0,14.35,0,1.55
 36-46,0,0,0,0,3.6,0.72,0,51.13,3.09,3.69,0,23.99,0,0.89,0,0,0,0,1.55,6.8,37.92,0.56,1.34,7.81,686.72,2.94,10.33,1.37,0,0,15.6,0.68,0,4.33,0,0,180.52,0,0,8.36,0,0
 48-58,0,0,0,0,13.56,0.45,0,152.71,0.44,0.82,1.97,37.08,0.49,1.99,0,0,0,1.03,0,1.87,39.7,1.54,0,3.86,647.47,0,5.67,3.18,0,0,9.19,0,0,0.62,0,0,130.74,0,0,5.12,0,5.91
 60-70,0,0,0,0,6.2,0,0,299.68,1.89,1.03,0,56.23,0,1.47,0,0,7.14,2.29,0,0,72.41,0,0,10.28,688.81,2,5.69,2.96,0,0,8.41,0,0,0.68,0,0,112.05,0,1.06,12.7,0,0
 72-82,0,0,0.53,0,3.96,0.57,0,296.15,1.25,0,2.65,45.94,0.56,1.07,1.73,0,6.49,1.2,2.67,0,107.12,0,1.26,8.92,544,0,8.54,8.14,0,0,5.27,0,0,0,0,0,60.63,0.53,5.98,18.42,0,6.79
 84-94,5.55,0,1.43,0,14.56,3.69,0,184.22,0,0.66,0.94,30.44,3.11,0,6.76,0,1.41,0,0,0,64.81,0.93,6.95,5.54,357.4,3.35,1.66,5.34,3.85,4.3,13.27,0,0,0.62,0.66,0,49.47,1.89,0,17.38,8.19,0
 96-106,1.12,0,2.45,0,2.8,12.11,0.94,200.36,1.05,1.23,0.82,37.43,1.18,1.83,2.1,0.98,0.67,0.75,0,0,62.52,0,3.69,4.41,329.17,0,9.87,4.03,0,0,22.82,0,0,0,0.62,0,37.4,4.84,4.16,12.9,1.03,0.85
108-118,0,0,0.57,0.74,16.07,3.63,0,128.19,0,2.8,2.68,33.53,1.27,0.69,3.23,0,6.3,0.49,0.77,0.54,65.77,1.47,0.96,4.42,421.62,0.45,4.8,0,0,1.49,12.19,0,0,0.61,0.43,0,13.5,2.64,8.79,2.43,0.7,6.48
120,0,0,3.64,0,23.84,8.84,0,160.61,1.06,1.42,3.18,71.35,0,0,13.61,6.31,4.91,0,0,1.6,68.9,0,0,4.27,541.51,2.43,11.86,3.85,0,0,5.41,0,0,0,0,0,17.68,1.27,0,8.36,3.75,0
