stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.49,153.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.77,503.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07,0,0,0,13.59,9.78,0,0,0,0,0,0,0,0,0,0
  7-9,26.41,6.04,0,53.32,0,0,79.35,0,0,0,29.37,0,0,0,0,0,0,0,0,0,0,527.16,13.91,0,0,113.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,33.15,0,0,19.9,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,377.5,27.76,0,0,82.84,0,5.95,0,43.65,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,18.62,5.22,1.69,0,0,0.85,0,0,0,0,0,0,0,0,3.87,0,15.99,61.22,0.86,0,5.63,2.07,1.61,0,16.35,1.9,3.85,5.81,17.25,0,0,0,0
 24-34,0,0,0.61,0.83,4.36,0,2.14,0,4.85,1.64,0,0,0,0.61,0,2.01,1.27,0,13.07,0,4.82,58.02,0.65,0,1.46,0,0.7,0,0,0,0,0.61,16.14,0,2.13,0,0
 36-46,0,0,0,0,0,0,1.31,0,3.26,0,0,0.9,0,0,0,0,0,0,25.89,0.96,0.83,28.79,0,0,1.17,0,0.58,0,0,0,0,0,6.88,0,0,0,3.04
 48-58,0,0,0,0,0.42,0,6.63,8.25,0.54,0,0,0,0,0,0,0,0.87,0,15.58,0.41,2.51,11.69,0,0,0.39,0,3.03,0,0,0,0,0,1.15,0,0.39,0,0
 60-70,0,0,0,0,0,0,0.79,0.75,2.68,0,0,0.71,2.56,0,0,0,0,4.47,48.84,0,7.11,4.16,0.98,0,0,0,0,0,0,0,0,0,1,0.57,0,0,0
 72-82,0,0,0,0,1.06,0,0,0,0.58,0,0,0,0,0,0,0,0,0,27.26,1.39,6.83,1.14,0,0,0.59,0,0,0,0,0,0,0,3.42,0,0,1.42,0
 84-94,0,0,0,0,0,0,1.47,0.94,0,0.58,0,1.57,0,0,0,0,0,0,30.97,0.76,7.74,10.16,0,0,0,0,0,0,0,0,0,0,1.58,0,0,1.89,0
 96-106,0,0,0,0,1.68,0,1.04,0.99,2.03,0,0,0,0,0.81,0,0,0,0,38.27,1.32,6.14,9.57,0,0.56,0,0,0,0,0,0,0,0,3.69,0,2.37,0,0
108-118,0,0,0,0,1.03,0,5.61,2.26,0,0,0,0,0,0,0.77,0,0,0,35.9,0,5.46,9.36,0.43,0,1.19,0,0.57,0,0,0,0,0,0.48,0,3.59,3.53,0
120,0,0,0,0,1.24,0,0,0,2.63,0,0,0,0,0,0,0,0,1.64,21.62,0,3.79,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
