stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,194.62,4081.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.05,0,0,0,0,0,0,0,0,0,0,0
  5-6,323.2,3761.94,0,10.71,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,106.51,12.13,0,0,44.35,0,60.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,107.88,93.35,0,134.63,0,0,0,141.3,0,0,0,0,0,54.67,0,0,0,0,0,0,0,0,0,0,0,2015.69,115.77,0,0,800.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,58,0,143.34,0,11.83,0,139.73,0,0,0,0,0,22.58,0,0,0,0,0,0,0,0,0,0,0,1944.79,93.66,0,0,674.17,0,0,12.01,10.74,130.97,0,5.3,0,0,0,0,0,0
 14-21,0,0,1.11,13.48,90.88,18.15,0,33.35,0,0,0,9.21,4.36,0,2.87,2.27,2.96,0,0,0,4.5,54.52,0,0,27.35,554.13,19.29,13.64,2.64,13.79,0,8.7,2.12,66.39,6.88,1.07,48.72,152.21,0,0,4.34,0,0
 24-34,4.9,0,1.26,7.25,57.59,4.39,0,139.09,0,3.72,3.4,30.87,3.44,0,5.73,2.85,2.13,0,0.93,2.35,15.5,161.53,0.63,0,55.35,1683.31,5.49,34.44,13.03,0,0,34.11,0,0,2.84,0,14.71,272.89,0,0,34.91,0,13.36
 36-46,0,0,0.85,0.63,30.49,4.04,0,275.51,0.66,0.79,4.9,45.47,0.95,0,1.28,22.08,0,0.65,1.52,4.44,14.47,113.99,0.77,3.27,35.12,1780.93,3.18,25.12,13.27,0,0,32.27,0,1.39,0,0,0,353.7,0,1.85,20.33,0,6.52
 48-58,0,0,0.42,0,30.65,1.96,0,481.95,1.41,0.96,14.08,99.29,5.69,1.97,1.56,11.11,0,3.75,1.94,5.11,5.54,149.07,4.6,10.96,27.72,1306.26,0,8.33,8.53,0,0.97,16.17,0,0,0,0.4,0,299.89,0,0.85,16.58,0,18.13
 60-70,0,0,0,0,27.78,1.8,0,520.02,3.68,3.37,5.6,127.17,0,5.25,0.58,13.35,0.86,0.9,1.29,1.41,0,173.51,0,5.08,29.94,800.05,17.81,14.85,4.33,0,8.21,13.4,0,0,5.72,0,0,129.65,0,2.21,14.82,4.78,6.69
 72-82,0,0,3.47,0.75,28.55,28.26,0,763.62,1.61,5.48,26.51,143.47,10.62,0,4.27,9.38,3.72,1.23,7.39,6.35,0.5,313.29,5.05,7.39,18.03,860.15,1.61,13.08,8.64,0,2.67,14.59,0.85,0,1.28,0,0,115.27,4.96,4.74,31.99,10.01,20.61
 84-94,0,0,3.4,1.04,50.85,32.21,0,518.2,0.56,6.44,18.07,120.84,5.1,1.36,0,10.96,3.52,10.21,8.03,0,11.14,300.79,2.39,6.6,30.8,547.14,1.59,7.7,13.12,0,3.21,70.4,0,0,4.22,0,0,84.6,4.15,3.83,20.53,5.37,9.74
 96-106,0,0,1.95,0,48.33,48.06,0.77,520.37,0.64,7.67,10.98,144.24,14.24,0,3.02,14.48,8.3,9.75,9.49,14.41,4.66,354.37,12.45,9.13,34.78,485.02,1.16,21.68,16.43,0,11.6,65.08,0.64,0,1.57,0,0,49.71,6.42,7.69,25.24,9.36,18.24
108-118,3.02,0,2.26,0.74,57.49,29.23,4.36,596.16,0,18.05,15.22,163.41,10.72,0,6.57,13.52,4.39,18.13,7.04,8.25,0.82,449.19,2.12,9.55,30.43,709.83,7.41,17.58,27.8,0,11.54,54.78,0,0,6.72,1.57,0,45.23,10.8,12.06,24.51,10.28,17.29
120,1.19,0,0,0,52.11,12.54,0,360.78,0,13.47,10.54,232.28,7.09,0,0,25.15,3.03,5.71,8.28,5.99,0,252.86,0,20.85,22.09,1040.31,4.48,36.61,18.48,0,0,31.43,0,0,2.76,0,0,43.28,2.99,8.41,6.02,8.27,0
