stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,624.92,7670.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,289,5816.59,0,24.67,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,259.43,27.95,0,0,131.27,0,27.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,78.8,152.75,0,203,0,0,0,351.17,0,0,0,0,0,119.95,0,0,0,0,0,0,0,0,0,0,0,2528,81.32,0,0,918.87,0,5.5,11.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,107.84,0,119.03,0,25.35,0,112.2,0,0,0,0,0,14.53,0,0,0,0,0,0,0,0,0,0,3.87,1642.65,52.63,0,0,411.1,0,3.1,3.78,0,119.02,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,11.43,211.13,62.53,0,76.58,0,1,0,21.14,7.24,5.03,4.81,0.97,6.22,13.41,0,2.19,2.22,129.45,0,0,79.77,1303.05,40.7,4.6,18.12,27.5,0,36.85,0.9,157.07,13.96,5.15,120.3,409.15,0,0,4.73,0,0
 24-34,0,0,2.36,6.64,56.1,10.26,0,238.27,0,2.15,4.45,46.75,2.63,0,8.32,7.89,5.46,8,3.55,4.52,4.58,211.55,2.54,0,100.19,2626.08,15.76,24.06,16.79,0,0,60.22,0,2.29,2.59,2.42,21.63,558.1,0,0,58.11,0,3.12
 36-46,0,0,0,0,48.72,2.14,0,477.04,0,13.35,5.72,121.92,1.86,0,3.96,6.38,1.57,16.66,4.33,4.38,3.05,211.72,1.21,3.79,58.11,3059.11,15.35,13.79,8.7,0,0,63,0.81,0.86,6,6.96,11.14,600.08,0,0,24.73,0,18.09
 48-58,0.77,0,0,0,40.72,11.51,0,726.85,1.63,4.94,14.84,146.27,5.32,0,10.28,14.2,0,12.27,3.01,12.45,0.8,239.5,1.09,12.57,39.99,2042.65,8.51,7.05,8.6,0,0,39.99,0,0,2.22,2.54,0,337.11,0,1.52,18.59,0,27.3
 60-70,0,0,2.49,0,48.87,6.71,0,991.95,0,16.51,4.34,119.73,9.77,0,3.05,10.34,1.3,0.71,0.65,5.93,11.11,283.56,6.72,7.65,43.73,2015.32,0.58,7.68,1.33,0,1.44,16.89,0,0,3.14,0,0,255.29,2.74,3.43,15.39,2.24,6.95
 72-82,0,0,0.58,0,22.08,2.4,2.88,735.64,4.1,5,21.43,89.69,8.58,0,3.91,5.82,0.53,0.64,6.51,1.48,3.92,305.32,3.26,15.36,23.47,1237.94,0.5,6.24,11.98,0,14.93,18.67,0,0,4.03,5.14,0,105.44,0.62,11.79,30.92,3.66,24.44
 84-94,0,0,0,0,30.24,10.9,0,355.01,0.79,4.44,12.86,81.77,10.75,0.6,4.26,5.85,2.86,5.78,4.59,7.81,0.95,167.74,4.58,15.86,29.61,671.57,1.55,8.11,18.87,0,1.31,51.54,0,0,0.56,0,0,55.78,2.89,1.76,30.38,5.67,0
 96-106,0,0,0,0,32.28,18.16,0,209.76,0,3.69,14.45,57.8,7.42,0,2.86,9.06,3.6,3.46,5.03,0,0,158.72,0.71,3.19,13.98,360.57,1.23,8.25,21.09,0,6.09,64.42,0,0,0,0,0,32.68,1.9,4.14,21.73,3.24,3.39
108-118,0,0,2.62,0,44.37,9.73,2.9,269.08,0,7.71,6.3,103.97,17.69,0,4.48,14.22,2.92,10.58,9.76,6.83,1.95,222.15,3.06,14.93,16.19,815.09,2.76,10.11,15.47,0,7.04,39.98,0,0,1.21,0,0,17.75,1.06,0.67,29.75,12.29,5.97
120,0,0,0,0,50.59,7.24,1.02,342.19,2.34,8.19,1.04,137.67,4.9,0,1.54,24.86,1.67,4.29,0,3.28,0,136.63,0,2.58,29.61,955.11,5.96,0,9.63,0,2.03,24.52,0,0,0,0,0,5.73,0,6.77,29.1,6.5,0
