stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,589.43,11386.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.86,0,0,0,0,0,0,0,0,0,0,0
  5-6,1275.08,15756.37,0,48.7,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,750.21,60.43,0,0,105.69,0,275.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,159.6,243.09,0,245.08,0,0,0,568.55,0,0,0,0,0,147.26,0,0,0,0,0,0,0,0,0,0,0,5406.52,171.03,0,0,1926.59,0,10.17,14.68,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,181.54,0,217.23,0,45.78,0,344.2,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,3326.23,41.73,0,0,1382.46,0,3.1,16.12,4.76,174.25,0,14,8.02,0,0,0,0,0
 14-21,0,2.83,1.07,15.3,154.16,55.79,0,64.45,0,0,0,33.61,13.29,2.29,2.05,2.44,5.97,0,0,0,0,72.09,0.95,0,58.25,1071.81,22.12,8.49,12.14,48.34,0,96.45,0,115.88,9.71,5.46,94.29,399.87,0,0,8.96,0,0
 24-34,0,0,0,6.99,54.82,13.4,0,212.67,0,2.92,1.62,45.14,3.65,0,7.94,0,7.64,0.83,6.95,5.3,6.43,184.04,0,0,85.16,1471.79,14.17,11.89,20.06,0,0,143.54,0,0.93,1.77,0,10.47,340.73,0,0,58.52,0,1.86
 36-46,1.07,0,0,0,58.19,2.06,0,364.47,0.85,1.22,5.36,65.35,0.66,0,4.37,7.29,0.71,1.93,3.86,0.72,4.56,215.38,0,8.14,58.98,1171.73,7.49,7.24,6.11,0,0,89.7,0,0,6.47,0,0,293.35,0,0,43.83,0,19.54
 48-58,0,0,0,0,62.18,3.02,0,365.84,1.02,9.48,17.92,70.17,6.45,0,3.26,9.66,0.39,3.35,3.23,3.21,6.45,233.96,0.91,7.48,42.18,637.13,11.76,2.15,9.96,0,0.61,62.64,0,0,1.22,4.36,2.82,136.49,0,1.05,18.89,0,16.11
 60-70,0,0,0,0,41.02,6.62,0,322.62,0.6,13.65,5.57,102.25,7.61,0,3.61,7.98,7.49,3.55,1.75,0,10.18,178.34,0,20.68,40.17,422.69,0,5.35,12.12,0,2.26,34.69,0,0,2.01,0,0,92.68,0,1.45,41.05,2.15,6.5
 72-82,0,0,1.21,0.56,31.09,3.43,0,143.77,1.01,0.7,8.98,89.53,6.54,0,0.89,12.56,0.75,9.06,2.15,0,0.5,188.67,1.29,5.95,27.19,269.37,1.1,5.85,3.35,0,7.54,41.69,0,0,1.73,0,0,24.45,0.87,5.41,37.33,1.62,2.76
 84-94,0,0,0,0,66.11,5.03,1.06,128.45,2.21,8.62,7.42,75.3,5.87,0,3.85,11.12,1.97,3.59,4.11,2.07,8.29,133.62,0.86,6.73,17.95,200.54,1.9,0,5.46,3.85,1.4,70.77,1.4,0,4.08,0,0,16.11,1.32,9.41,39.3,3.53,0
 96-106,0,0,0,0,34.34,7.14,0,112.87,0.62,4.05,9.28,45.58,8.29,0,7.43,9.62,4.34,14.9,4.69,0,1.03,155.38,1.5,9.85,13.21,201.34,2.18,10.45,10.98,0,14.18,71.03,0,0,0.67,0,0,9.53,2.32,3.93,40.06,6.31,4.43
108-118,0,0,0.97,2.21,56.56,9.12,0,94.4,0.52,12.68,1.15,83.58,16.11,0,3.23,18.83,4.33,13.22,3.03,2.47,0.95,105.64,0,9.41,27.73,255.06,0.77,3.59,9.76,0,10.2,69.62,0,0,0.87,0,0,18.82,2.88,1.74,33.84,2.36,2.03
120,0,0,0,0,48.35,6.28,0,72.23,0,15.62,3.99,52.57,7.87,0,1.54,30.75,0,7.73,5.63,1.45,0,117.2,1.49,0,30.55,290.44,4.59,0,11.59,0,0,31.58,4.03,0,0,0,0,12.93,0,0,23.99,0,0
