stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.56,0,0,0,16.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,46.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.72,3.96,0,0,22.03,0,5.07,0,0,0,9.82,0,0,0,0,0
 14-21,0,0,2.89,14.82,0,0,0.85,0,0,0,0.84,0,0,0,0,0,0,0,0,0,6.58,0,0,2.14,33.68,0,0,4.37,0,0,4.89,0.83,0,0.91,2.29,22.8,0,0,0,0
 24-34,0,2.55,5.66,19.83,0.87,0,17.97,0,1.07,0.61,5.13,0,0,8.15,0.71,0.64,0,4.71,12.08,0,21.56,0,0,18.65,535.46,8.72,3.57,1.16,0,0,19.15,0,1.56,2.82,4.58,113.54,0,3.1,0,2.87
 36-46,0,0,0.63,12.12,0.58,0,41.18,0,3.56,1.2,22.22,0.67,0,2.62,0,22.5,2.4,0.68,0.56,0,61.3,0,0.95,20.31,1449.79,4.85,0,1.06,0,0,7.82,0,0.59,1.16,0,205.26,1.23,5.46,0,6.63
 48-58,0,0.53,0,12.39,0.86,0,195.96,0,0.62,4.24,44.79,0,0,0.39,11.25,0.38,11.66,4.76,0,0,98.72,0,7.97,16.23,2234.65,14.76,2.59,0.4,0,0.56,14.36,0,0.45,0,0,359.4,0.37,13.5,0,9.5
 60-70,0,0,0,25.45,0.62,0,479.31,0,9.99,5.19,62.86,0,0,1.59,0,0,0.78,3.27,0,4.86,121.63,0,2.49,6.57,2276.45,4.29,2.33,10.86,0,0,17.11,0,8.7,2.65,0,287.92,1.31,2.49,0,8.28
 72-82,0,1.04,0,19.89,8.15,0,655.41,0,3.34,6.11,100.63,3.39,0,4.68,1.32,1.05,9.07,3.56,0,2.16,176.83,0,6.72,18.32,1984.22,0,0,7.43,0,3.86,11.43,0,1.37,3.62,0,183.59,10.51,17.43,5.58,21.14
 84-94,0,2.07,0,28.9,18.1,0,403.65,1.79,3.93,5.25,50.62,0.73,5.47,5.37,5.29,4.65,14.22,1.05,2.93,10.44,169.42,1.78,0.95,7.17,1226.97,4.39,0.71,9.96,0,0.6,25.31,0,0.67,0,0,142.19,2.8,16.76,13.42,8.59
 96-106,0,0.81,0,26.79,21.53,0,404.8,2.98,4.74,6.05,105.05,0,0,3.93,1.64,1.69,3.3,3.01,4.87,2.66,154.86,4.78,10.74,12.72,924.31,0.57,3.83,9.01,0,4.61,24,0,0.78,2.81,0,56.1,2.53,21.12,9.62,3.25
108-118,0,0.91,0,32.57,3.08,4.57,342.41,1.95,11.89,6.44,76.64,3.96,0,3.31,0,2.52,12.75,9.79,0,2.18,185.97,1.22,5.51,12.59,1267.51,1.27,2.12,13.22,0,0.96,23.11,0,0,0.91,0,37.73,2.76,9.6,1.55,10.07
120,0,0,0,62.11,11.23,0,362.78,0,11.99,14.85,198.65,0,0,2.18,8.22,0,3.57,0,10.44,0,262.02,0,14.03,6.92,2468.9,0,3.5,20.28,0,38.87,11.1,0,0,0,0,99.35,9.18,6.03,17.7,0
