stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,766.74,1776.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.44,0,0,0,0,0,0,0,0,0,0,0
  5-6,1229.87,1954.62,0,0,0,0,0,0,0,0,0,0,137.58,0,0,0,0,0,0,0,0,0,0,0,129.75,56.51,0,0,40.18,0,25.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,625.38,40.26,0,110.84,0,0,81.43,0,0,0,0,0,387.68,0,0,0,0,0,0,0,0,0,0,0,718.12,245.45,0,0,449.91,0,0,13.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,122.9,0,106.36,0,9.65,231.92,0,0,0,0,0,18.23,0,0,0,0,0,0,0,0,0,0,0,3014.19,125.52,0,0,484.39,0,0,0,3.96,5.84,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,13.91,55.58,9.76,81.25,0,0,0,11.31,8.97,0.98,2.93,0,4.72,0,0,0,0,44.24,1.28,0,37.89,3075.79,16.82,0,6.29,20.11,0,6.13,0,54.94,2.38,0,49.03,1068.4,0,0,14.19,0,0
 24-34,0,0,2.1,4.17,21.78,4.12,74.44,0,0,4.04,33.4,4.56,2.15,2.72,1.46,0,0,1.32,0.95,0,54.03,0,0,19.52,4034.49,34.28,1.04,0.64,1,0,2.53,0,0,0,0.76,10.76,1280.65,0,0,110.18,0,4.9
 36-46,0,0,0,0,4.84,0,65.34,0,0,4.91,168.08,1.43,0,4.56,0,0,0,0,0,3.69,87.24,0,0.89,28.56,2199.98,57.97,1.38,5.1,0,0.77,4.69,0,0,1.06,0,0,1070.23,0,1.69,40.28,0,0
 48-58,0,0,0,0,8.43,0,73.98,0.58,0,1.48,331.65,0,0.54,2.82,0,0,0.55,0,0,0,97.28,0,1.84,17.31,980.56,168.79,0,5.21,0,0,0,0,0,0,0.76,0,708.41,0,1.38,24.73,0,0
 60-70,0.64,0,0,0,13.32,0,41.76,3.52,0,5.7,294.36,0,0,1.59,0,0.61,0,0,0,0,223.46,0,1.19,12.24,298.64,183.18,1.43,6.33,0,0,1.55,0,0,0,0,0,195.51,0,6.14,9.93,6.68,0
 72-82,0,0,3.25,0.56,10.74,0,40.81,0,3.68,4.83,239.02,3.07,0.59,4.65,0.89,1.07,0.57,2.77,2.02,0,356.73,0,0,9.12,292.49,83.61,0,3.16,0,0.71,2.2,0,0,0.53,0,0,92.95,0,3.57,11.5,18.78,1.6
 84-94,0,0,1.46,0,23.74,0.69,40.51,0,0.63,3.16,164.59,2.61,0,0,3.36,0.59,0,0.9,1.45,0,249.24,0,5.17,4.59,160.72,163.23,5.85,5.76,0,4.76,12.63,0,0,0,0,0,51.31,0,3.34,6.24,22.13,7.62
 96-106,1.12,0,0.63,0,45.64,12.77,31.7,0,1.87,6.26,187.96,3.73,0,2.33,3.9,1.45,0.92,2.75,6.22,0,310.28,0,0,9.78,132.2,112.66,0.84,11.79,0,0,11.52,0,0,0,0,0,35.58,2.31,17.84,10,12.75,0
108-118,0,0,0,0,48.97,5.15,20.65,0,0,5.65,153.64,8.76,0,2.55,1.33,5.03,0,0,1.45,0,350.26,0,5.25,7.74,160.27,147.07,1.23,10.33,0,0,2.53,0,0,0,0,0,15.22,4.27,12.89,15.05,18.72,2.47
120,1.12,0,2.52,0,47.96,1.14,50.35,0,2.16,5.8,237.81,0,0,9.82,0,1.05,0,2.6,3.92,0,262.36,0,0,12.21,110.36,259.27,0,14.52,0,0,0,0,0,0,0,0,10.67,2.31,0,9.42,13.97,0
