stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,129.9,3106.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,166.64,2831.31,0,0,0,0,0,0,0,0,0,0,0,30.16,0,0,0,0,0,0,0,0,0,0,0,43.74,6.07,0,0,6.69,0,26.4,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.49,60.12,0,22.94,0,0,0,118.88,0,0,0,0,0,17.79,0,0,0,0,0,0,0,0,0,0,0,990.65,32.33,0,0,223.83,0,5.78,23.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.38,0,5.59,0,16,0,86.83,0,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,0,0,776.8,54.41,0,0,249.69,0,13.05,13.51,0,44.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.06,41.36,11.04,0,15.63,0,0,0,8.14,3.67,2.56,3.25,0,13.84,0,0,0.86,0,14.27,0,0,17.68,290.09,2.03,3.15,3.3,11.1,0,87.32,0,35.9,10.05,2.48,39.01,88.02,0,0,5.19,0,0
 24-34,0,0,1.94,1.86,14.45,2.19,0,42.18,8.76,1.59,0,12.26,0,0.81,0,1.29,5.56,0,0,0,2.66,35.95,0,0.89,15.08,497.09,3.4,7.08,7.11,0,0,114.58,0,0,0.64,0.76,8.73,117.95,0,0,26.52,0,6.75
 36-46,0,0,0,0,17.2,0,0,95.19,1.8,4.46,2,37.73,0.56,0,2.39,1.03,1.15,1.91,0.82,7.64,1.49,56.64,1.78,0,12.02,660.91,1.28,5.61,0.57,0,7.92,244.58,0,0,1.9,5.67,2.35,141.36,0,0,7.17,0,11.77
 48-58,0,0,0,0,14.56,0.65,0,181.52,2.74,2.17,3.18,32.74,1.39,0.91,3.36,0.57,9,7.15,2.56,2.22,8.68,43.49,3.08,0.69,8.75,520.26,2.11,7.45,4.32,0,0.39,167.92,0,0,0,0,0,122.72,0,0,19.33,0,11.19
 60-70,0,0,0,0,29.62,0.72,0,230.29,0.65,1.62,2.49,41.64,0,1.21,3.34,2.38,1.58,4.25,0.61,1.62,0,76.69,8.39,0,5.89,507.48,0,10.39,4.69,0,0,143.58,0,0,0,0.62,0,93.65,3.21,0.67,8.59,0,17.6
 72-82,0,0,0,0,12.57,21.37,0.9,225.82,0,0.63,2.91,40.97,5.39,1.03,0.51,1.19,2.03,0.49,7.72,0,0,93.88,7.49,7.78,4.11,445.49,0,9.36,7.16,0,0,85.83,0.56,0,0,3.03,0,37.95,0.62,0.56,17.02,0.56,10.56
 84-94,0,0,3.98,0,29.32,15.19,0,137.06,5.09,0,3.63,43.39,4.07,0,1.46,4.09,4.45,7.16,0.58,2.82,4.5,94.5,5.49,3.62,9.65,338.95,0,0.77,7.54,0,4.13,276.15,0,0,2.8,0,0,29.53,1.6,3.02,16.37,3.63,19.37
 96-106,0,0,3.06,0,21.55,25.71,1.09,165.64,2.34,7.67,0,27.54,7.99,0,0,9.69,8.53,2.41,0,1.58,8.41,98.82,7.06,5.75,10.13,220.07,0,2.05,2.04,0,2.5,217.32,0,0,0.7,0,0,11.86,5.63,0,18.14,2.03,0.89
108-118,0,0,1.89,1.84,39.96,24.89,4.06,102.22,1,6.08,6.43,45.36,6.71,0,0,6.54,8.72,7.01,3.33,2.82,6.33,71.11,3.64,1.7,8.7,299.45,5.45,7.81,5.12,0,1.55,136.18,0,0,4.05,0.88,0,19.07,0.44,2.1,13.92,4.25,13.21
120,0,0,0,0,100.34,9.44,0,170.61,2.98,7.38,0,20.4,16.23,0,10.02,5.73,0,6.92,3.66,12.68,6.47,131.03,3.43,10.62,2.15,444.66,1.17,10.18,5.44,0,1.79,106.36,0,0,1.56,0,0,8.33,0,0,12.16,2.01,1.1
