stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.02,221.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,485.22,726.56,0,70.61,0,0,0,0,0,0,0,0,0,51.15,0,0,0,0,0,0,0,0,0,0,0,130.39,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,45.89,34.25,0,99.39,0,0,0,57.15,0,0,0,0,0,175.66,0,0,0,0,0,0,0,0,0,0,0,440.29,17.43,0,0,32.51,0,3.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.88,0,30.67,0,0,0,3.76,0,0,0,0,0,30.25,0,0,0,0,0,0,0,0,0,0,0,476.46,18.79,0,0,20.03,0,3.1,4.8,0,23.97,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.83,16.11,0,0,6.89,0,0,0,0,1.08,1.02,0,0,0,0,0,2.94,0,10.14,0,0,1.72,79.26,3.45,0.93,0,0,0,33.27,0,0.85,2.65,1.08,5.47,42.09,0,0,2.38,0,0
 24-34,0,0,0.75,0,28.53,1.57,0,21.77,1.34,1.55,2.04,10.54,0.69,0,0.67,0,0.64,0,1.48,0,0,45.59,0,0,25.89,418.57,10.25,12.73,7.64,0,0,145.37,0,0,6.31,0,5.32,116.94,0,0,16.36,0,0
 36-46,0,0,0.99,0,18.51,2.52,0,42.81,8.02,1.38,2.72,35.15,1.3,0.76,2.45,0,0,0,3.62,0,0,70.55,2.72,0.8,12.23,593.21,2.01,8.05,3.4,0,0,204.43,0,0,11.64,0,0,142.52,0,0.62,11.71,0,0
 48-58,0,0,0.46,0,30.33,1.82,0,86.27,5.84,2.78,2.87,41.48,2.34,0,1.82,1.39,0.49,0,8.15,5.71,8.08,104.01,5.5,4.77,17.91,455.92,0,0.93,13.7,0,0,150.59,0,0,1.25,4.07,0,121.59,0,0.85,14.02,0,17
 60-70,0,0,0,0,45.39,0.67,0,157.95,0,11.01,3.38,40.68,2.67,0.66,0.9,2.95,3.83,6.24,2.42,0,3.48,109.4,2.15,8.41,15.15,367.69,0.66,2.27,13.71,0,1.44,146.72,0,0,2.82,3.05,0,73.66,1.72,0.65,22.11,0,0
 72-82,0,0,0.71,0,26.2,2.13,0,130.72,7.34,1.48,2.37,45.07,3.41,0,0.98,7.62,3.38,4.02,3.47,0,0,143.88,6.05,5.16,7.61,246.74,0.58,2.79,13.93,0,0.71,84.67,0,0,4.56,1.05,0,37.98,3.98,3.07,16.92,6.14,3.1
 84-94,0,0,0.73,0,53.43,0,0,97.63,4.26,18.3,2.59,50.58,3.3,2.73,2.13,9.17,3.52,5.27,1.61,0.89,0,131.33,1.26,4.07,12.74,200.1,4.53,2.63,20.34,0,0,237.45,0,0,4.81,0,0,17.97,0.57,2.44,27,2.75,1.56
 96-106,0,0,6.63,0,39.69,0,0,113.07,4.14,10.42,4.27,62.76,2.16,0,1.03,18.49,9.47,2.86,9.74,4.02,3.63,92.98,2.8,3.65,5.43,179,6.93,12.4,20.03,0,6.15,237.45,0,0,0.67,0.71,0,25.2,1.01,4.81,31.99,5.53,8.29
108-118,0,0,1.73,0,54.34,7.76,2.5,139.32,5.47,34.01,3.53,56.82,14.74,0,0.49,13.74,9.33,13.34,6.19,2.74,1.27,138.4,4.12,15.09,9.85,237.01,1.03,3.23,29.89,0,1.95,312.09,0,0,6.4,4.82,0,17.5,1.92,14.49,28.34,3.14,8.63
120,1.12,0,3.01,0,109.08,4.65,0,111.22,6.54,21.06,12.14,117.63,24.84,0,3.24,22.5,2.7,8.39,1.74,2.97,0,112.61,2.34,20.03,25.13,166.44,13.43,16.95,32.61,0,0,239.87,0,0,3.97,1.21,0,21.07,3.68,0,16.75,16.21,3.58
