stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,12.63,17.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.28,0,0,3.16,0,0,0,0,0,0,0
 14-21,0.89,0,262.53,24.66,0.92,0,0,0,0,0,31.77,4.49,0,0,0,3.5,0,2.18,1.96,3.13,1.25,0,0,0,0.94,116.97,0,0,0
 24-34,0,0,161.99,14.04,0,1.11,0,0,0,0,46.05,0,0,0.71,5.93,16.93,0,0.8,11.76,0.77,0,0,0,0,5.11,269.41,0,0.69,0
 36-46,0,0,9.83,6.62,0,1.14,0,1.04,0,0,8.8,0,0,0,4.33,1.26,0,1.63,4.04,2.49,2.46,0,0.97,0.57,10.97,101.03,0,0,0
 48-58,0,0,1.22,1.35,0,0.55,0,0,0.46,0,2.96,0,0,0,1.39,4.07,0,0.43,0,3.82,1.34,0,0,0,6.14,11.08,0,1,0
 60-70,0,0,0,3.56,0,0,1.34,0,0.98,0,0,0,0,0,0,0,0,0,0,4.55,0,0.81,0,0,0.79,0,0,2.83,0
 72-82,0,0,0,3.54,0.61,0,6.63,0,0,0,0,0,0.49,0,0,7.32,0,6.03,2.62,3.8,2.25,0,0,0,3.04,3.67,0,1.39,0
 84-94,0,0,0,3.28,0,0.56,8.53,0,0,0,0.73,0,0.63,0,0,1.31,0,1.35,16.09,3.38,3.01,0,0,0,1.23,1.25,2.12,0,0.98
 96-106,0,0,0,24,2.74,0,5.73,0,0,0.61,1.66,0,0,0.85,0,7.9,0,1.21,1.19,4.94,6.51,0,0,0,1.7,11.5,0,0.7,2
108-118,0,0,0,30.21,0.55,5.03,7.84,0,0,0,4.9,0,0,3.83,0.48,4.42,3.83,1.62,2.8,0,6.23,0,0,1.42,3.78,1.44,0.41,0,2.83
120,0,0,0,41.42,0,0,4.08,0,0,0,1.33,0,2.22,0,0,1.69,0,0,36.99,0,4.84,0,0,0,0,3.82,0,4.75,0
