stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,75.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.07,0,0,0
  7-9,4.49,0,0,0,0,0,0,12.34,0,0,0,0,0,0,35.08,9.22,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,7.35,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,1.04,0,0,6.66,0,2.38,0.84,4.28,0
 24-34,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.7,0.59,0,14.98,0,0.95,0
 36-46,0,0,0.75,1.42,0,0,0,0,0,0,0,0.6,0,0,3.35,0,33.53,0,2.89,0
 48-58,0,0,0,2.19,0,0,0,0,0,0,0,1.59,0,0.38,4.62,0,32.56,0,0.85,0
 60-70,0,0,0,0.69,0,0,0,0,0,0,0,0.68,0,0,2.02,0,54.08,0,0,0
 72-82,0,0,0,1.56,0,0,1.37,0,0,0,0.65,0,0,0,1.25,0,5.05,0,0,0.64
 84-94,0,0,0.7,3.5,0.56,0,0,0,0.58,0,1.76,0,0.57,0,11.31,0,19.89,0,0,0
 96-106,0,0,2.47,0,0,0,1.68,0,1.06,0,3.33,3.78,0,0.99,13.64,0,14.03,0,0,0
108-118,0,0,14.6,1.34,1.33,0.57,17.23,0,0,1.3,6.75,1.41,0,0,1.4,0,31.82,0,0,0
120,0,0,9.07,0,0,0,3.65,0,0,1.46,7.15,1.64,0,0,4.48,0,32.19,0,0,0
