stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,2562.65,37573.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378.1,0,0,0,0,0,0,0
  5-6,4631.11,46951.04,0,0,0,0,0,0,0,248.43,0,0,0,0,0,0,1184.89,75.21,0,0,336.85,1429.68,0,0,0,0,0,0,0
  7-9,761.63,557.03,845.9,0,0,1539.51,0,0,0,819.5,0,0,0,0,0,0,18804.53,783.37,0,0,6316.87,84.23,156.72,0,0,0,0,0,0
 10-12,7.59,205.5,393.01,0,43.7,580.94,0,0,0,68.35,0,0,0,0,0,0,5311.04,171.86,0,0,2077.86,3.47,56.79,9.12,242.84,0,38.35,4.33,0
 14-21,0,0,19.18,280.25,51.92,78.51,4.11,18.68,10.54,3.76,6.92,4.26,32.8,86.09,0,55.63,767.15,25.96,3.01,16.48,17.24,18.05,13.55,170.45,13.14,53.58,235.39,207.3,6.24
 24-34,0,0,1.43,5.85,0,10.29,5.84,0,0,3.85,0.85,0,2.72,23.22,2.43,7.93,86.39,3.32,0,0,0,14.98,0,0,0,0,0.71,26.4,9.35
 36-46,0,0,0,0,0,2.24,5.71,0,0.74,0,0,0,0,0.59,0,0.95,6.27,3.63,0,0,0,30.09,1.02,0,0,0.79,0,3.41,0
 48-58,0,0,0,0,0,2.8,6.61,0,0,0,0,0,0,0.89,0,1.31,8.67,0,0,0,0,7.2,0,0,0,0,0,0,0
 60-70,0,0,0,3.75,0.58,1.89,2.03,0.63,0,0,0,0,0,0.79,0,0,6.53,0,0.83,0,0,0,0,0,0.93,0,0,0.87,0
 72-82,0,0,0,0,0,0,0,0.78,0,0,0,0,0,3.21,0,0,1.43,0,0,0,0,0,0,0,0,0,0,1.62,0
 84-94,0,0,0,0,0,0.68,5.39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5.03,0,0,0.66,0,0,0,0
 96-106,0,0,0,0,0,0.86,7.19,0,0,0,0,0,0,0,0,0,1.02,0.59,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.74,1.42,0.53,0,10.6,0,0,0,0,0,0,12.99,0,0,5.61,0,0,0,0,1.23,0,0,0,0,0,0,0.55
120,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
