stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,265.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0
  5-6,19.99,334.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,53.07,9.02,0,0,7.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.99,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,1.03,0,0.9,0,0,0,0,0
 24-34,0,0,0.66,3.99,0,0,1.35,0,0,0,0,0,0,0,0,0,0,4.26,0,0.74,0,0,0,12.61,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.94,0,0,0,0,0,0,3.17,0.83,0,0,4.49,0,0.94,0,0,0,12.49,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.5,0,0,0.79,0,2.12,0,0,0,2.39,1.77,0.56,0.82,0,14.84,0,0,0.5,0,0,8.43,0,0,0,0,0,0,0,0
 60-70,0,0,0,3.81,0,0,4.08,0,4.69,0,0,0,0,10.36,1.25,0,1.87,7.05,0,0,0,0,0,14.56,0,0.73,0,0,0,0,0,0
 72-82,0,0,0,1.05,0,0,0,0,2.31,0,0,0,0,0.49,0.84,0,0,5.8,0,0,0,0,0,3.26,0,0,0,0,0,0,1.27,1.11
 84-94,0,0,0.66,5.51,0,0,7.58,0,0,0,1.15,0,0,5.33,1.62,0,0,9.01,0,1.78,1.57,0,0,13.98,0,0,0,2.5,0,0,0,0
 96-106,0,0,0,3.25,0.92,0,10.72,0.68,1.77,2.26,0,1.51,0,3.6,0,3.57,0,27.09,0,2.73,0.6,0,0,22.26,0,0,0,0,1.3,0,0,0
108-118,0,0,0,3.46,0,0.47,0.98,0,1.23,1.25,1.23,0.51,0,11.52,1.34,0,0,6.09,0,0.6,0.44,0,0,20.63,0,0,0,0.58,0,0.75,1.4,0
120,0,0,0,1.28,0,0,0,0,3.34,0,0,0,0,1.61,0,0,0,30.02,0,0,0,0,11.51,1.17,0,0,9.15,0,0,0,0,0
