stage,blastomeres,endocrine.pancreas,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,neural,vasculature
  3-4,18.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.23,0
 14-21,0,0,1.13,0,0,0,0,2.02,0,0,0,0
 24-34,0,2.56,0.84,0,0,0,0,2.6,0,0,0.86,0
 36-46,0,3.84,0,0,0,0,0,3.96,0,0,0,0
 48-58,0,2.64,0,0,0,0,0,1.14,5.18,0,6.67,0
 60-70,0,13.58,0,0,0,0,1.26,0.98,0,0,0,0
 72-82,0,48.9,0,0,0,0,17.68,3.67,0,0,5.53,0.89
 84-94,0,35.76,0,0,5.97,0,15.28,5.13,0,0,0,0
 96-106,0,52.59,0,0.59,0,0,38.63,8.34,0,1.7,1.17,0
108-118,0,46.86,0,3.73,0,0.98,36.06,6.89,0,5.57,3.03,0
120,0,29.58,0,0,0,0,32.84,21.5,0,0,0,0
