stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,28.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,21.9,0,4.72,0,0,0,3.35,0,0,0,0,0,0,0,0,10.42,0,0,6.67,78.22,1.76,0,1.05,0,6.76,34.46,0,7.53,32.75,35.12,0,0,3.41,0,2.62
 24-34,0,0,0,0.76,13.97,0,3.13,0,0.85,0.63,0.68,0,0.67,0,0,0,0,0.66,0,12.42,0,0,0.89,126.65,0,0,2.24,0,59.52,0,0,2.93,5.1,32.39,0,0,6.35,0,0
 36-46,0,0,0,0,27.63,0,14.52,0,1.18,0,0,0,0.95,1.17,6.62,0,0,0,4.35,1.36,0,0,0.79,73.88,0,0.6,0,0,48.01,0,0,0,0,10.38,0,0,2.3,0,0
 48-58,0,0,0,0,15.54,0,18.08,2.93,0.96,0,3.19,0,0,0.43,0,0,0,0,1.69,8.66,0,0,0.39,43.57,0,0,0,0,41.04,0,0,0,0,6.79,0,0,4.13,0,0.84
 60-70,0.81,0,0,0,7.36,0,32.85,0,3.1,0,6.55,0,0,6.9,0,2.71,0,1.77,0.59,16.97,0,0,7.62,92.4,0,2.1,0,0,66.67,0,0,2.31,0,17.91,0,0,11.13,0,0
 72-82,0,0,0,0,4.31,0.59,29.29,0,0,0.74,9.07,0,0,1.73,0.53,0,0,0,0,16.65,0,0,0,78.37,1.13,2.19,0.68,0,40.28,0,0.53,0,0,9.42,4.21,0,16.68,1.08,1.93
 84-94,0,0,0,0,13.7,0.57,23.23,0,5.18,0,5.36,0.66,0,4.71,0,0.75,0,0,0,13.64,1.01,0,2.68,55.51,0,1.4,0.92,0,105.04,0,1.56,0,0,16.44,0,1.13,7.42,0,2.16
 96-106,0,0,0.99,0,14.46,0,21.71,0.72,3.16,2.6,6.55,1.75,0,5.03,1.49,0,0,1.3,0,11.96,0,2.37,1.29,32.73,0.57,0,1.8,0,85.85,0,0,0.57,0,0,0,0,4.96,2.15,0
108-118,0,0,0.91,0,21.75,0.66,18.6,7.4,3.99,0,17.15,2.58,0,8.54,0.44,0,0.76,0,5.63,32.58,0,0,4.12,62.16,1.55,2.66,0.87,0,87.25,0,0,0.93,0,0.46,0,0,3.12,0,4.99
120,0,0,0,0,66.58,0,38.06,4.69,9.35,0,17.66,1.55,1.15,38.5,2.78,0,0,0,0,29.22,3.7,0,8.79,151.15,0,0,0,0,124.9,0,0,0,0,15.19,0,0,9.2,0,0
