stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.45,1596.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.76,0,0,0,0,0,0,0,0
  5-6,52.49,1249.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,6.32,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,5.47,0,0,47.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74,0,0,0,10.72,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,0,32.04,4.62,2.17,0,0,1.8,0,0,0,0.8,0,0,25,0,13.24,75.49,0.87,0,1.34,0,0,10.81,5.08,9.01,14.76,0,5.16,0,0
 24-34,0,0,0,0,0,1.62,0,0,0.68,0,0,0,0,0,0,1.47,0,0.94,27.97,0,0,0,0,0,0,1.75,0,7.55,0,0,0,0
 36-46,0,0,0,12.49,0,1.58,0,0,1.87,0,0,0,0,0,0,6.34,1.58,0,44.92,0,2.38,2.96,0,2.7,0,0,0,7.93,0.85,0.8,0,0
 48-58,0,0,0,0.98,0,7.01,0,0.48,0.47,0,0.71,0,0,0,0,4.38,0,0.39,34.17,0,2.53,0,0,0.57,0,0,0,6.87,0,0,0,1.07
 60-70,0,0,0,0.63,0,20.03,0,0,0,0,0,0.99,0,0,2.72,8.52,0,0,21.47,0,0,0,0,1.52,0,0,0,4.83,0,0,0,0
 72-82,0,0,0,1.19,0.68,22.44,0,0,3.28,0.63,1.28,0.5,0,0,0,6.83,0,1.17,57.29,0,0.53,0,0,5.43,0,0,0,2.74,0,0.81,0,0
 84-94,0,0,0,9.32,0,28.49,0,0,0.56,0.68,0,0,0,0,0,3.7,0,0,26.23,0,2.26,0,0,3.24,0,0,0,10.23,0,0,0,0
 96-106,0,0,0,4.95,0,7.61,0,0,5.52,0,0.73,0,0,0,0,13.13,1.75,0,12.6,0,2.11,1.29,0,9.39,0,0,0,0,0,0.59,0,0
108-118,0,0,0,0.78,0,29.31,0.82,0,2.68,0.5,0,0.66,0,0.53,0,7.31,0,1.33,26.01,0,2.34,0,0,8.31,0,0,0,4.97,0,0,0,0
120,0,0,0,0,0,9.2,0,5.27,0,0,0,3.09,0,0,0,0,0,0,31.53,0,0,0,0,15.57,0,0,0,0,0,1.61,14.71,0
