stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,2.11,0.94,1.04,0,0,0,4.35,0,0,0,0.85,6.84,1.1,0,0,0,0,2,4.1,0,0
 24-34,0.7,0,0,0,0.68,0,0,0.8,0,0,0,3.27,0,0,0,0,0,0,0,0,0.63
 36-46,0,0,0.64,0,0,0,0,0,0,1.03,0,1.68,0,0,0,0,1.34,0,6.82,0,0
 48-58,0,0,4.47,0,1.65,0,0,0,0,0,0,15.8,0,0,0,0,0,0,5.97,0.47,0
 60-70,0,0,4.37,7.22,2.67,0,0,0,0,11.61,0,1.48,0,0,0,0,0,0,5.52,0,0
 72-82,0,0,6.59,0,0,0,0,0,0,2.86,0,5.53,0,0,0,0,0,0,5.28,0,0
 84-94,0.61,0,0,0,0,0,0,0,0,7.74,0,2.61,0,0,0.71,0,0,0,0,0,0
 96-106,0,12.1,7.48,0,8.46,1.54,0,0,0,11.71,0,2.69,0,0,0,0,0.71,0,0,0,0
108-118,0,0,0,0,7.46,0,0,0.49,3.93,6.76,0,0.97,0,1.04,0,0.79,0,0,0,0.64,0
120,0,0,0,0,0,0,0,1.11,0,0,0,8.93,0,0,0,0,3.12,0,0,0,0
