stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,2.39,1.73,0,0,1.26,0,0,0,0,0,0,0,1.9,0,0,3.65,0,0,0,25.8,0,0,0,0,4.89,0.91,0,1,10.13,0,0
 24-34,0.67,0,0.65,0,0,5.56,0,0.62,0,0.67,0,2.21,0,0,0.64,0,1.21,0,0,0,65.07,0,0,1.07,0,1.49,0,0,0,14.17,0,0.77
 36-46,0,0,0,0,0,8.12,0,8.76,0,2.35,0,0,0,0.61,0,0.56,4.96,0,0,0.68,41.19,0,0.89,0.61,0,4.58,0,0,0,7.9,0,0
 48-58,0,0,5.87,0,0,10.57,0.57,0,0,5.6,0,0,0,0,0,0,0.49,2.62,0.5,0,14.33,0,0,0.71,0,0.94,0,0,0,1.82,0,8.56
 60-70,0,0,0,0,0,16.36,0,0,0,5.22,0,0,0,0,0,0,0,1.1,0,0,26.91,0.98,3.29,0.63,0,8.39,0,0,0,2.71,0,0
 72-82,0,0,0,0.64,0,12.48,0,0,0.77,8.41,0,0,0,0,0,0,2.04,0,0,0,13.25,0,0.86,0.53,0,1.82,0.73,0,0,1.81,0,0
 84-94,0,0,1.58,0,0,33.66,0,0,2.36,2.1,0,0,0,1.54,0,0,4.68,0,0,0,9.08,0,0,0,0,1.37,0,0,0,1.93,0,0
 96-106,0,0,0,8.46,0,20.31,0,0,0,3.13,0,0,0,0.95,0,1.32,6.96,2.99,0,0.58,13.06,0,0,0,0,6.72,1.05,0,0,0,0,1.06
108-118,0,0,6.73,0,2.11,20.06,1.33,0,0,9.15,1.97,0,0.67,0,0,0.43,5.83,1.46,0,0.48,37.04,0,0,1.97,1.91,14.28,0.85,0.43,0,1.47,0.48,0
120,0,0,6.53,1.29,0,53.3,1.18,3.98,3.06,34.37,2.42,0,1.3,0,0,0,14.91,2.91,9.27,1.51,21.25,1.1,3.5,0,0,6.01,0,0,0,0,0,0
