stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,5652.89,110916.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4129.22,0,0,0,0,0,0,0,0,0,0,0
  5-6,5852.88,73692.51,0,80.68,0,0,0,0,0,0,0,0,0,160.16,0,0,0,0,0,0,0,0,0,0,0,1313.22,108.48,0,0,339.35,0,984.84,0,0,0,0,0,0,0,0,0,0,0
  7-9,798.73,1316.22,0,1522.06,0,14.9,0,4061.65,0,0,0,0,0,1193.42,0,0,0,0,0,0,0,0,0,0,0,31558.33,907.34,0,0,10785.92,0,71.54,274.59,0,12.83,0,0,0,0,0,0,0,0
 10-12,16.28,1004.81,0,1283.86,0,143.69,0,3194.88,0,0,0,0,0,428.97,0,0,0,0,0,5.32,0,0,0,0,0,24836.48,608.99,0,0,7583.94,0,27.09,140.17,29.99,1044.31,0,63.78,17.64,0,0,0,0,0
 14-21,0.93,1.44,0,34.01,418.01,119.73,0,401.81,0,0,0,36.22,13.35,6.48,2.57,0,13.53,0,1.75,0,3.15,192.3,0,0,174.28,2962.53,50.78,7.2,25.8,62.69,0,84.18,6.79,295.24,12.51,2.53,444.15,755.91,0,0,11.17,0,0
 24-34,0,0,4.18,14.88,121.98,21.55,0,887.49,0,8.14,4,85.17,5.71,0,12.05,6.46,11.48,10.55,12.32,9.84,7.7,367.87,6.72,2.42,151.37,5322.77,26.2,47.78,67.49,0,0,183.39,0,3.26,8.7,2.78,65.03,932.8,0,0,97.35,0,12.67
 36-46,0,0,1.35,6.91,113.89,8.24,0,1708.13,6.88,27.56,21.83,301.07,7.56,0,11.28,10,9.5,14.89,11.16,11.54,13.52,482.88,1.3,11.21,130.08,7522.02,18.8,52.46,34.92,0,0,192.36,0,0,5.43,13.46,3.45,1335.37,0,1.23,44.35,0,11.69
 48-58,0.39,0,2.1,2.76,138.05,7.9,0,2764.12,8.75,20.32,29.21,611.95,20.61,0.54,12.38,13.29,3.55,24.2,19.88,20.17,6.37,737.76,10.1,27.7,138.82,7026.93,17.22,29.27,40.15,0,0,186.37,0,0,2.6,2.23,0,1036.19,0,3.67,71.01,0.65,35.58
 60-70,0,0,1.76,0,180.13,5.26,0,3135.05,4.99,19.25,22.66,564.92,41.23,0,7.76,64.5,13.82,11.88,17.46,15.91,1.56,846.05,11.29,45.61,116.59,6139.25,27.19,25.62,55.12,0,2.65,124.02,0,0,14.57,3.58,0,532.73,5.06,12.66,64.27,4.56,20.72
 72-82,0,0,5.96,0,159.26,26.83,0.67,1724.15,10.05,31.46,30.16,474.87,36.32,0,10.16,52.88,16.11,13.37,36.44,8.52,6.02,737.79,14.47,50.88,108.88,3313.59,12.81,15.92,54.04,0,6.48,108.57,0,0,2.4,5.76,0,164.5,14.1,16.75,107.35,14.18,45.91
 84-94,0,0,4.32,0.57,192.68,21.67,8.6,1360.05,2.68,18.09,25.8,321.85,44.16,0.76,14.49,60.11,27.19,19.55,15.96,28.62,14.69,601.31,15.44,52,105.74,2311.14,28.24,34.95,63.15,0,8.47,402.78,0,0,9.26,2,0,208.56,33.02,17.91,122.8,32.51,10.92
 96-106,0,0,7.84,0.65,146.03,68.81,2.93,888.47,3.86,8.67,14.88,242.47,35.21,1.32,15.98,63.27,16.31,4,24.52,17.37,6.17,404.35,16.62,12.42,81.49,1589.63,15.96,40.55,49.7,0,10.05,281.76,0,0,5.9,0,0,82.51,22.4,18.03,76.77,29.61,17.79
108-118,0,0,7.77,1.22,165.77,37.22,26.47,868.09,3.37,27.66,13.28,305.95,27.77,0,12.36,52.84,17.47,23.9,17.74,12.26,3.03,447.87,23.28,27.02,67.3,2315.26,14.19,36.65,41.28,0,11.11,258.1,0,0,4.12,1.97,0,70.9,27.36,14.17,63.91,15.96,36.81
120,0,0,3.73,0,340.25,70.3,11.04,945.73,5.63,52.48,20.32,569.09,61.5,0,19.58,105.9,14.54,29.05,22.89,15.94,1.55,606.97,29.92,97.06,95.48,3107.61,34.97,63.04,39.93,0,15.61,200.31,0,0,2.46,3.39,0,146.29,20.81,17.5,170.92,47.12,7.09
