stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2079.72,34702.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,2309.64,31509.96,0,14.57,0,0,0,0,0,0,0,0,0,168.26,0,0,0,0,0,0,0,0,0,0,0,896.94,73.24,0,0,167.56,0,776.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,508.83,388.42,0,643.02,0,0,0,1187.58,0,0,0,0,0,445.67,0,0,0,0,0,0,0,0,0,0,0,12983.22,558.57,0,0,3928.34,0,167.84,139.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,426.02,0,572.49,0,99.9,0,820.92,0,0,0,0,0,67.74,0,0,0,0,0,0,0,0,0,0,0,14162.39,360.31,0,0,2623.8,0,112.89,112.63,25.47,317.81,0,15.07,11.15,0,0,0,0,0
 14-21,3.19,1.28,4.92,46.7,7811.14,207.48,0,280.19,0,18.95,0,101.87,36.45,31.05,33.07,9.27,77.34,8.68,13.98,2.95,34.5,454.4,23.13,0,291.69,5294.63,247.38,26.74,99.18,80.06,0,649.06,30.59,341.78,61.57,133.66,724.43,1649.45,0,0,114.33,0,32.27
 24-34,0,0,7.84,16.9,3352.66,25.02,0,297.98,0,203.6,6.06,163.79,14.41,6.08,41,15.95,32.14,1.43,100.61,10.52,86.25,727.29,43.51,6.58,357.21,5209.8,20.06,76.67,51.34,0,9.77,660.34,1.72,6.23,56.56,34.77,124,1688.89,0,0,535.67,0,75.65
 36-46,1.07,0,3.15,1.11,1770.43,6.06,0,432.31,0,348.07,36.31,177.23,5.72,0,37.07,28.72,34.46,10.92,65.47,8.31,176.28,800.67,28.73,19.4,239.87,2752.98,20.26,48.69,33.16,0,7.74,711.12,1.64,11.12,37.95,15.3,1.16,1069.74,0,1.04,250.22,0,122.13
 48-58,0.58,0,0.44,0,1318.51,2.68,0,718.2,1.05,457.68,43.61,269.88,0.88,37.99,41.45,30.08,6.71,23.12,50.97,17.78,91.75,982.44,25.45,31.1,196.23,1636.75,11.99,17.49,31.81,0,4.19,398.49,0,3.6,7.89,6.25,0,600.61,0,4.86,156,1.93,191.14
 60-70,0,0,2.1,0,1041.95,0,0,690.92,6.8,285.55,49.7,278.51,23.65,21.62,42.23,26.53,5.04,46.92,56.53,15.96,78.44,1153.19,11.61,49.42,137.27,990.81,9.03,15.76,36.32,0,10.68,291.58,0,0,26.97,6.13,0,125.68,3.19,33.89,136.7,16.11,196.87
 72-82,0,0,22.34,1.26,795.12,8.71,0.51,645.91,3.23,252.24,54.49,359.65,70.31,3.73,32.69,42.52,9.1,68.8,68.19,5.65,27.22,1338.81,20.4,62.07,129.99,859.62,0.75,28.94,39.21,0,18.42,168.39,0.56,0,9.86,0.64,0,96.39,7.42,51,204.31,49.26,260.78
 84-94,0.62,0,16.99,0.7,1329.08,2.45,0,630.66,7.42,368.38,35.2,291.26,146.91,2.08,16.46,61.7,27.27,84.59,76.39,14.36,72.38,1009.06,17.23,73.27,127.59,659.21,12.1,27.93,49.92,0,12.27,472.44,0,0,19.4,0.66,0,61.15,25.47,55.85,188.07,46.29,165.33
 96-106,0,0,7.65,4.54,1360.84,22.08,2.72,470.62,2.04,308.5,33.16,362.47,150.17,0,43.08,41.44,30.01,82.82,111.59,26.44,37.98,1058.15,30.33,86.46,92.64,553.31,6.25,68.8,57.21,0,26.41,389.94,0,0,19.42,0.64,0,84.95,33.83,45.74,221.05,73.82,163.93
108-118,0,0,12.35,4.95,1211.87,12.55,5.25,388.08,2.49,396.51,38.33,413.15,126.96,0,24.03,35.08,32.15,99.65,87.46,19.92,34.2,1100.23,24.64,68.77,92.64,695.39,3.07,35.08,56.48,0,51.13,411.3,0,0,12.43,1.88,0,50.99,45.25,40.52,200.3,51.53,159.27
120,0,0,0,1.66,630.26,6.2,4.7,168.58,1.21,244.21,24.4,382.09,90.08,0,34.86,75.94,30.41,65.18,31.42,11.53,8.45,854.35,12.83,37.6,65.22,519.78,4.3,18.11,49.07,0,15.25,174.16,0,0,4.21,0,0,38.42,46.97,38.34,130.9,41.78,54.88
