stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,97.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.22,0,0,0,30.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.55,4.24,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.68,0,85.54,0,71.57,0,494.43,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,2689.1,48.94,0,0,70.55,0,20.53,0,0,78.98,0,0,0,0,0,0,0,0
 14-21,0,0,20.35,66.6,678.69,147.7,0,795.39,0,4.73,0,146.83,32.48,0,3.78,8.03,12.45,0,0.84,0,5.53,256.09,1.84,0,209.83,6732.25,146.76,26.98,69.78,8.02,0,174.57,3.68,13.95,197.13,17.41,106.24,1970.75,0,0,44.53,0,0
 24-34,4.02,0,21.45,47.76,376.71,47.89,0,703.69,5.5,25.52,12.05,262.46,29.15,3.33,28.76,28.24,63.11,3.74,26.81,10.93,25.64,770.85,47.12,9.01,362.98,13130.42,57.83,151.07,126.48,0,0,707.14,0.98,0,83.94,42.26,58.38,3447.64,0,0,340.1,0,40.17
 36-46,0,0,7.22,2.48,274.96,10.82,0,1749.47,16.14,44.01,26.6,456.68,12.42,0,17.54,46.45,79.13,19.42,30.33,10.13,38.19,819.63,19.02,22.05,218.66,18410.76,31.93,112.44,65.68,0,1.94,1085.89,0,3.64,52.69,30.65,4.13,4029.36,0,7.97,203.4,0,51.19
 48-58,0.58,0,7.62,0.55,291.66,18.82,0,4601.22,18.45,64.25,52.73,849.81,21.53,6.26,28.3,49.42,38.1,34,20.88,11.71,16.88,1012.62,18.39,52.46,196.66,17593.6,38.91,60.14,57.69,0,6.13,646.33,0,0,20.36,24.43,0,3457.85,0,4.79,122.52,1.22,53.65
 60-70,0,0,13.79,0,249.87,23.73,0,8538.25,30.41,75.55,35.55,607.9,29.04,1.71,11.48,53.86,23.31,35.69,14.54,6.7,16.85,1033.31,29.41,74.08,125.13,16285.64,34.49,65.02,56.35,0,2.98,547.97,0,0,27.5,15.06,0,2392.09,10.89,11.58,126.77,8.09,61.96
 72-82,0,0,20.24,0,189.83,131.28,0,5502.96,13.78,25.64,44.61,449.12,55.19,1.88,14.04,44.9,28.28,22.62,23.4,8.54,15.74,994.9,24.72,45.11,80.12,8959.96,12.44,47.54,64.91,1.13,9.38,263.29,0,0,10.88,2.12,0,1028.49,19.28,22.23,155.46,33.31,48.86
 84-94,0,0,13.85,0.68,257.36,186.26,3.27,3683.41,22.47,37.18,30.29,341.54,85.77,4.57,9.67,60.4,49.72,18.44,12.17,23.9,21.23,901.48,34.77,46.07,78.45,5652.88,13.03,45.02,63.21,0,11.25,631.06,0,0,38.12,15.34,0,687.7,60.17,39.02,160.29,23.5,30.68
 96-106,0,0,21.43,0,229.7,147.2,3.05,2720.73,4.17,31.11,11.33,362.02,90.55,0,16.86,57.61,40.56,6.64,25,16.29,10.27,550.66,31.21,24.38,38.65,3790.47,4.97,50.45,49.47,0,19.51,500.17,3.39,0,17.38,2.57,0,255.78,74.65,17.84,137.34,22.05,23.88
108-118,0,0,8.12,2,199.55,68.51,29.33,2355.8,11.52,36.91,17.73,303.14,80.06,0,12.69,59.28,31.59,32.08,22.98,8.45,7.9,585.67,39.4,25.34,63.33,4923.08,9.59,31.96,50.07,0,33.86,321.03,0,0,11.49,4.33,0,204.51,66.13,6.94,133.16,20.24,20.17
120,0,0,10.04,0,285.8,96.3,2.74,3101.29,18.02,27.85,44.9,495.42,75.16,0,7.76,129.15,47.01,40.24,23.84,13.23,2.94,616.41,28.27,41.89,81.76,8887.57,15.35,69.62,62.55,0,11.71,247.98,0,0,16.46,1.21,0,223.27,52.65,23.74,252.69,77.89,11.73
