stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.49,735.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.76,1094.12,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,29.87,7.94,0,0,13.43,0,8.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.73,21.67,0,45.57,0,0,0,95.37,0,0,0,0,23.43,0,0,0,0,0,0,0,0,0,0,913.47,38.94,0,0,222.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.17,0,64.26,0,13.97,0,86.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976.33,27.09,0,0,304.14,0,0,4.8,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,2.18,16.12,4.56,0,9.6,0,0,7.12,0,0,1.07,0,0,0,0,0,0,17.24,0,18.17,203.59,0.96,5.29,2.36,2.71,0,14.61,0,7.86,2.26,1.37,11.77,76.4,0,0,9.25,0,0
 24-34,0,0,0,0,6.41,0,0,21.84,0,1.37,6.42,0,0,8.9,2.15,0,0,0,0,1.81,36.52,0,15.69,408.16,3.15,7.74,1.64,0,1.14,8.82,0,0,4.23,0,1.71,74.12,0,0,36.92,0,4.25
 36-46,0,0,0,0,5.12,0,0,36.17,9.59,0,13.29,0.72,0,2.72,0,0,0,0,1.07,1.12,29.91,0,5.98,722.02,7.19,2.49,1.96,0,0,10.19,0,0,0,0,0,138.78,0,0,27.22,0,0
 48-58,0,0,0,0,9.84,0,0,76.18,0,0,28.22,0,0,1.7,0,0,0.39,0,0,0,66.09,1.83,8.29,593.32,2.77,0,1.01,0,0.4,6.41,0,0,0.74,0,0,128.86,0,0,23.04,0,1.9
 60-70,0,0,0,0,15.29,4.47,0,112.14,0,1.04,19.46,3.23,0,1.39,0,0,3.07,0,0,9.05,53.48,2.24,4.96,484.3,11.64,4.63,0,0,2.07,5.74,0,0,0,0,0,63.32,0,1.5,13.6,0.98,9.12
 72-82,0,0,1.4,0,15.1,0,2.97,173.85,3.49,16.68,53.26,1.68,0,4.43,0,0,6.27,1.49,0,0,116.46,1.04,8.75,343.89,0,1.88,0.9,0,0,11.62,0,0,0,0,0,44.11,0,1.73,42.64,4.78,14.47
 84-94,0,0,0,1.01,13.87,5.14,0,118.82,2.91,0.94,18.24,3.6,0,4.76,1.44,2.51,1.7,1.71,0,3.38,58.17,9.51,0,220.23,1.79,1.72,0,0,0,21.52,0,0,0,0,0,37.26,0,5.25,31.93,3.26,10.32
 96-106,0,0,0,0,19.89,0.93,0,153.88,3.58,0.82,25.86,2.26,0,3.8,0.85,0,1.34,1.89,0,1.97,80.37,1.85,3.49,256.83,0.58,0.81,2.97,0,1.94,10.05,0,0,0,0,0,12.66,1.66,1.5,12.22,5.51,13.67
108-118,0,0,0,0,16.77,0,0,134.11,6.63,2.64,16.8,5.45,0,0.61,0.77,2.7,9.37,0,0,0.52,95.4,8.72,7.21,204.85,1.83,0.44,4,0,3.15,10.12,0,0,0.41,1.21,0,1.88,0.91,1.85,23.3,2.72,7.78
120,0,0,0,0,11.21,0,0,94.59,14.58,4.91,44.95,2.52,0,0,2.62,0,11.41,0,0,1.79,57.3,3.21,2.24,241.8,4.52,0,3.98,0,9,10.07,0,0,0,0,0,16.53,2.83,0,12.86,0,0
