stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.22,2015.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,211.6,2086.9,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,117.61,6.07,0,0,15.45,0,50.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,83.41,102.25,0,175.78,0,0,0,254.72,0,0,0,0,0,69.84,0,0,0,0,0,0,0,0,0,0,0,2115.11,70.47,0,0,873.29,0,24.82,18.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,55,0,155.37,0,23.08,0,217.23,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,0,0,2149.06,74.65,0,0,576.21,0,8.76,0,0,115,0,4.35,8.05,0,0,0,0,0
 14-21,0,0,1.11,15.28,338.89,55.87,0,69.06,0,2.56,0,14.07,10.77,2.19,4.3,5.38,13.56,0,0,1.15,3.64,121.92,0,0,89.28,932.05,37.79,1.75,11.14,35.66,0,45.95,0,224.62,32.71,40.58,148.74,294.09,0,0,9.64,0,4.39
 24-34,0,0,1.22,4.2,85.09,13.5,0,87.48,0.81,5.33,0,20.94,7.42,2.07,6.44,11.16,15.24,1.8,5.1,9.72,21.61,107.63,3.52,0,39.74,826.46,10.37,7.16,8.38,0,0,91.55,0,0,8.57,6.09,32.59,187.68,0,0,53.38,0,19.46
 36-46,0,0,0,0,35.62,0,0,173.61,5.74,14.68,8.25,55.62,2.63,0,1.84,13.56,3.59,2.66,3.63,11.55,14.5,109.06,1.28,0,29.19,584.02,2.83,10.58,8.55,0,0,170.29,0,1.63,7.84,0.58,1.72,150.49,0,0,28.75,0,19.81
 48-58,0,0,0.46,0,25.04,0.59,0,152.4,4.77,7.76,15.82,73.48,2.3,0,5.74,15.33,0.9,3.84,2.09,13,10.86,128.07,4.43,7.5,25.87,320.28,7.41,11.42,15.11,0,0,71.88,0,0,5.04,1.89,0,115.46,0,2.62,12.6,0,41.02
 60-70,0,0,0.82,0,29.31,0,0,265.92,7.59,12.58,7.46,102.93,19.92,0,2.53,38.11,1.23,5.14,3.22,0,5.51,165.21,0.65,12.3,48.27,276.74,0,7.39,7.19,0,0,60.53,0,0,4.8,4.56,0,50.51,3.21,2.6,21.71,3.59,25.09
 72-82,0,0,4.69,0,33,15.46,0,258.79,10.57,13.55,14.01,143.16,35.26,0,6.57,45.6,6.18,24.57,10.09,0.54,2.01,235.77,2.02,9.14,16.15,287.62,1.53,16.07,8.34,0,2.19,58.68,0,0,4.94,4.77,0,22.52,6.14,3.82,18.05,7.99,20.28
 84-94,0,0,4.33,1,70.3,8.67,0.58,191.04,9.16,9.42,17.27,81.65,35.63,1.85,2.19,45.97,12.62,13.64,10.04,2.88,12.36,206.46,1.26,8.23,31.46,195.96,0.67,2.07,6.1,0,2.43,164.82,0,0,10.34,2.03,0,30.87,21.18,6.9,32.17,15.67,23.67
 96-106,0,0,6.13,0,53.8,15.46,0,194.3,2.86,6.09,3.36,125.2,28.68,0,11.05,41.63,16.18,13.12,7.19,2.98,1.82,202.2,4.52,3.63,21.49,207.25,5.42,22.76,13.22,0,4.82,112.29,0,0,2.45,0.74,0,8.12,7.72,1.27,39.22,7.69,18.84
108-118,0,0,5.88,0.91,68.52,13.87,1.86,190.04,4.7,10.33,17.99,124.84,25.74,0,4.82,39.41,19.26,17.91,2.27,7.12,5.7,202,9.53,13.01,31.89,271.23,2.07,15.69,11.56,0,13.3,102.43,0,0,5.82,1.62,0,5.3,8.69,7.27,46.08,5.66,10.95
120,0,0,4.32,0,99.26,3.18,0,102.32,2.78,14.03,35.91,172.72,24.29,0,0,58.72,13.83,12.21,7.22,13.9,1.55,187.65,4.4,11.74,13.29,318.97,6.89,12.23,6.3,0,0,99.12,0,0,6.24,1.37,0,7.88,13.92,9.18,13.24,8.87,14.83
