stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.49,23.65,0,0,28.86,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,3.73,0,0,3.32,0,0,0,0,0,0,0,0,0,0,26.8,0,2,70.36,164.55,1.03,0,25.93,0,1.89,0,29.53,0,13.25,7.01,0,1.35,0,0
 24-34,0,0,2.36,1.74,0,1.23,0,0.61,0,0,0,3.81,0.71,0.72,0,0,60.73,0,1.46,89.25,147.91,9.32,4,0,0,2.26,0,0,9.38,11.4,18.71,0,0,0,0
 36-46,0,0,0.63,0,0,0,0,0,1.98,0,4.57,0,0,0,0,0,25.85,0,2.59,86.21,41.1,10.54,1.49,0,0,0,0,0,0,0,19.57,0,2.41,0,0
 48-58,0,0,0,0,0,8.99,0,0.42,2.46,0,0,0,0,0,0,0,15.52,0.49,1.64,44.16,86.5,0.37,5.96,0,0,2.42,0,0,0,0,10.22,0,0.5,0,0
 60-70,0,0,0,3.51,0,9.48,0,0.8,0.76,0,0,0,0,0,0,0,8.74,0.91,0.68,37.38,308.13,4.83,0,0,0,0,0,0,0,0,16.62,0,2.06,0.83,0.91
 72-82,0,0,0,0,0,6.07,0.73,0,14.38,0.58,0,0,0,0,0,0,17.88,0,0.54,33.93,104.17,0,0,0,0,0.66,0,0,0,0,22.43,0,0,1.05,3.62
 84-94,5.55,0,1.2,0,0,6.84,0.78,0,13.46,0,0,0,0,0,3.5,0,9.25,0,2.95,13.22,0.67,1.72,0,0,0,2.66,0,0,0.69,0,12.78,1.79,0,0,0
 96-106,0,0,1.33,0,0,3.25,0,0,3.9,0,0,0,0,0,0,0,13.91,1.24,1.15,11.42,39.1,8.17,0,0,2.56,3.3,0,0,0,0,14.36,1.99,0,1.58,8.11
108-118,0,0,0,0,0,0,0,0,5.85,0.42,0,0,0,0,0,0.55,10.94,0,0,22.32,39.96,0.96,0,0,5.1,0,0,0,0,0,4.89,0,0,0,14.51
120,0,0,1.21,1.46,14.93,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,23.59,0,0,0,0,0,0,0,0,0,0,7.87,0,1.96,0,4.45
