stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05,0,0,0,3.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.79,0,0,9.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.89,0,0.99,0,0,0,0,0,0,0,0,0.84,0,0,0,14.17,0,0,0,0,0,0.87,1.48,13.72,0,0,0,0,0
 24-34,0,0.75,0.69,0,0,0,0,0,1.51,0,0,0,4.59,2.76,0,0,0.64,27.53,0,2.14,0,0,2.12,0,1.98,6.03,0,0,0,0,1.87
 36-46,0,0.73,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,1.74,32.89,0,1.95,0,0,0,0,0,4.08,0,0,0,0,0
 48-58,0,0,0.5,0,23.9,0,0.94,0,0.67,0,0.73,0,0,1.4,0,0,0.55,49.23,0,1.87,0,0,1.57,0,0,5.51,0,0,0,0,0
 60-70,0,0,0.58,0,278.33,0,0,0,1.51,0,2.14,0,2.31,0,0,0,0,86.54,0,0,0,0,0,0,0,7.07,0,0,0,0,0
 72-82,0,1.39,3.54,0,633.67,0.49,1.26,0,12.64,0,10.44,0,0,5.05,0,0,0,149.81,0,1.45,1.88,0,0,0,0,20.23,0,0.5,0.72,0,0
 84-94,0,0.84,12.62,1.48,192.41,0,6.76,2.27,11.22,0,11.7,0,0,7.46,0,0.57,2.29,82.84,0,0,0,0,1.29,0,0,6.06,0,0,0.57,0,0
 96-106,0,1.08,27.09,0,201.91,0,4.39,0,14.58,3.13,12.97,9.58,0.77,13,0,2.65,0,108.25,0.85,4.69,1.11,0,7,0,0,9.02,1.13,1.57,1.76,0,0.66
108-118,0,1.22,38,0,188.52,0,6.25,0.53,28.39,1.1,30.27,0,0,13.54,0.9,0,1.01,209.71,0,3.33,4.53,0,8.13,0,0,4.07,0,2.05,0.45,0,0
120,0,1.37,48.11,1.27,72.16,0,15.36,0,10.79,0,11.58,0,0,0,0,9.27,0,222.49,0,0,0,0,0,0,0,9.81,1.28,0,0,12.56,0
