stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.58,3932.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.93,0,0,0,0,0,0,0,0,0,0
  5-6,390.36,3603.38,0,13.2,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,229.7,0,0,0,15.38,0,70.97,0,0,0,0,0,0,0,0,0,0
  7-9,18.91,87.9,0,895.82,0,0,0,290.51,0,0,0,0,0,28.66,0,0,0,0,0,0,0,0,0,0,0,3129.33,79.52,0,0,785.85,0,21.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.04,0,421.55,0,4.95,0,225.62,0,0,0,0,0,25.34,0,0,0,0,0,0,0,0,0,0,0,1824.58,41.09,0,0,530.08,0,23.63,0,0,76.71,0,0,4.47,0,0,0,0
 14-21,2.31,0,0,21.21,293.03,135.21,0,155.47,0,0,0,13.56,8.31,9.97,1.46,9.05,3.12,0,0,4.09,2.3,103.38,1.35,0,71.27,856.45,18.7,3.38,19.69,25.7,0,100.94,0.91,148.55,5.7,6.03,344.82,214.43,0,2.62,0,7.32
 24-34,1.76,0,0,39.98,163.04,72.04,0,226.49,6.26,3.9,0.71,13.48,11.91,0.74,5.36,19.43,24.24,1.69,9.97,9.46,12.28,126.59,4.06,0,53.64,916.41,4.81,6.97,45.81,0,0,121.15,0,7.56,4.46,1.76,153.16,200.24,0,21.33,0,20.93
 36-46,0,0,0,2.46,46.79,8.19,0,113.62,5.68,1.36,2.06,18.66,6.01,0,5.88,31.3,13.33,8.79,0.71,8.59,7.03,85.46,2.1,1.28,13.93,357.11,1.23,2.83,20.17,0,0,37.59,0,0,11.55,0.7,0.7,71.09,0,19.69,0,24.77
 48-58,0,0,0,1.05,15.98,8.83,0,29.22,0.68,0,0.82,13.41,1.6,0,4.52,15.02,11.63,1.31,0.95,2.1,7.34,45.67,0,2.95,11.6,137.44,0,0,0.39,0,0.55,5.11,0,0.92,0.74,0,0,23.71,0,12.58,0,7.18
 60-70,0,0,0,0,11.7,4.91,0,45.77,0,0,0,16.54,4.81,0,6.43,8.52,2.01,9.62,0,6.88,13.89,45.37,2.02,0.66,10.65,136.91,1.95,1.56,1.45,0,2.82,0,0,0,0,0,0,12.07,0,12.38,0,2.97
 72-82,0,0,0,0,8.75,23.76,2.06,31.53,0,0.52,2.28,15.33,13.59,0,0.51,21.82,4.24,0.59,2.24,0,1.13,49.06,3.95,3.72,9.06,99.63,6.21,2.02,0.74,0,0,2.4,0,4.38,0,0,0,9.28,3.64,20.55,0,0
 84-94,0,0,0,0,25.85,42.87,9.08,27,0.67,0.74,0,22.8,16.5,0,12.26,28.24,2.2,0.76,1.94,12.01,0,42.18,2.93,5.21,1.79,134.99,0,3.25,2.89,0,2.02,4.8,0,0,1.11,0,0,8.48,0,6.1,0,12.01
 96-106,0,0,0.99,0,29.01,37.63,9.52,31.93,4.47,0,2.36,14.11,56.97,0,9.97,50.76,0.58,1.47,0.77,14.81,0.75,47.71,1.09,11.51,4.15,113.57,1.76,7.93,1.82,0,0.87,15.86,0,0,0,0,0,4.48,0.8,18.29,0.64,2.21
108-118,0,0,0,0,48.8,41.75,31.6,17.54,0.86,2.85,0.93,12.7,45.53,0,6.69,33.21,1.97,5.6,2.73,17.22,2.5,61.49,3.41,5.59,9.7,124.3,1.96,8.23,2.32,0,6.4,12.18,0,0,0,0,0,3.29,0.52,27.46,0,7.48
120,0,0,10.11,1.28,32.92,81.5,9.13,12.36,0,0,0,38.34,31.47,0,15.26,49.18,4.18,0,0,7.37,1.28,34.2,1.63,0,1.06,75.63,0,2.27,2.55,0,0,14.31,0,0,0,0,0,0,2.24,36.82,0,0
