stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.75,40.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.48,0,0,8.27,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3,0,0,0,25.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.41,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,66.49,0,0,0,24.39,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,5.88,1.68,0,1.76,0,0,0,2.5,0,0,0,0,0,0,0,0,0,1.22,0,0.96,44.14,0,0,0,1.02,0,38.32,4.14,0,2.57,11.03,0,0,1.23,0,0
 24-34,0,0,0,0,7.25,0,0,14.1,0,0.61,0,0,0,0,0,0,0,0,0,0,0,11.32,0,1.65,156.27,1.8,1.59,0,0,0,74.84,0,2.11,1.4,38.5,0,0,9.95,0,3.51
 36-46,0,0,0,0,18.96,0.6,0,41.67,0,7.46,0,3.82,0,0,0,0,0,0,0,0,1.16,8.81,0,1.89,110.94,0.55,0,1.35,0,0,74.53,0,0,0,16.86,0,0,0,0,20.63
 48-58,0,0,0,0,11.49,0,0,28.95,0,1.3,0,3.38,2.14,0,1.15,0,0,0.85,0,0,1.17,15.69,0.43,2.54,49.11,4.33,0,1.57,0,0.4,55.28,0,1.73,0,8.17,0,0,0,0,13.96
 60-70,0,0,0,0,6.83,0,0,22.46,0,4.62,0,11.75,4.18,0,0,0,0,1.16,0,2.43,3.93,14.54,0,2.21,38.35,0,1.42,0,0,0,54.99,0,6.76,0,1.69,0,0,1.33,0,23.41
 72-82,0,0,1.65,0,8.18,0,0,26.66,0,2.55,0.69,11.82,8.99,0,0,0,0,1.38,1.48,6.46,1.61,42.01,0,2.4,28.18,0,3.07,0,0,0,45.26,0,22.73,0,1.7,0,0.53,1.63,1.65,24.31
 84-94,0,0,0,0,19.4,0,0,15.19,0,7.54,1.56,22.58,31.72,0,0,0,2.22,0,1.91,12,6.27,22.71,2.49,1.05,22.49,0,0,5.05,0,0,60.74,0,64.79,0,0.67,0,0,3.4,0.89,3.55
 96-106,0,0,2.78,0,23.03,0,2.47,24.52,0,1.23,3.82,25.76,39.68,0,0,0,0.99,0,0.63,29.65,4.68,36.99,3.47,5.18,32.28,0,1.57,6.63,0,2.93,74.26,0,61.63,0,4.91,0,1.58,1.95,5.57,17.1
108-118,0,0,1.62,0.5,30.08,0.49,1.73,35.12,4.19,8.22,3.61,41.83,65.32,0,2.02,2.22,1.44,1.18,0,28.31,11.87,49.9,1.06,1.37,64.41,0.44,1,3.92,0,4.59,53.46,0,84.15,0,9.42,2.09,3.84,0.63,0,10.59
120,0,0,0,0,28.52,0,0,4.86,0,7.5,0,69.62,44.57,0,0,0,1.63,0,1.48,15.06,27.12,31.67,4.76,5.33,41.32,0,1.61,16.05,0,6.29,48.16,0,52.03,0,0,0,3.38,0,0,13.26
