stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,1060.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.77,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.56,165.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,79.84,0,0,0,8.94,0,0,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.18,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,40.8,8.92,0,0,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20.73,1.82,0,2.03,0,0,0,2.01,0,0,0,0.94,4.57,0,0,0,4.89,0,0,12.16,93.45,0,0.89,6.03,0,0,4.68,0.9,1.09,38.81,17.63,45.2,44.52,0,0,1.08,0,0
 24-34,0,0,3.22,0,2.34,0.62,0,3.5,0.72,0.86,0,2.23,0,0,0,8.69,7.22,0,0.96,0,1.24,0.7,0,6.33,210,0.59,10.6,2.01,0,0,7.77,0,0,43.57,0,11.82,58.66,0,0,2.45,0,0
 36-46,0,0,0.95,0,0.6,1.25,0,18.37,0,0,0,10.75,1.15,0,0.99,26.69,0.62,0,0,0,23.5,0,0,4.29,488.78,0,6.97,0,0,0,14.34,0,0,42.07,0,1.09,114.64,0,0,1.86,0,1.43
 48-58,0,0,0,0,3.77,1.69,0,29.83,0,0,0,30.46,0,0.37,0,44.73,2.71,2.64,0,0,9.4,0,0,0.87,248.55,0,9.1,0.52,0,0,3.6,0,0,13.08,0,0,38.95,0,0,1.37,0,0
 60-70,0,0,0,0,5.02,0,0,35.84,1.28,0,0.93,24.54,0,0,0,54.2,0.75,0,1.55,0,19.74,5.63,2.11,0,359.37,0.66,3.25,5.04,0,0,0.81,0,0,19.58,0,0,25.91,0,0,3.18,0,0
 72-82,0,0,0.58,0,3,0.5,0,139.75,0,1.14,0,24.45,0,0,0,41.23,1.24,0,2.78,0,31.82,0,1.8,0.85,359.69,0,14.93,2.72,0,0,4.59,0,0,51.43,0.64,0,6.33,0.82,0.91,4.85,1.24,0.55
 84-94,0,0,1.05,0,11.66,0,0,110.91,0,0.88,0,28.68,0,2.14,0,60.2,3.04,0,1.57,3.72,16.4,1.37,10.68,1.47,179,0.57,8.62,1.82,0,0.6,3.13,0,0,87.8,0,0,19.49,0,0,4.42,1.4,0
 96-106,0,0,0,0,10.67,5.55,0,147.31,0.64,3.7,0.65,21.24,1.69,0,2.05,58.97,4.76,0,0,10.51,21.72,3.31,1.03,4.42,205.23,1.64,14.56,1.38,0,0.79,10.98,0,0,114.01,0,0,2.02,1.33,0,1.71,0,0
108-118,0,0,1.77,0,6.45,4.01,0,141.98,9.81,0.42,4.58,47.77,0.42,0,1.81,59.54,11.33,0,0,0,22.09,2.04,2.49,2.24,219.89,0.45,8.77,3.27,0,0,2.02,0,0,85.3,0,0,10.56,0.55,0,0,0,0
120,0,0,0,0,28.7,2.36,9.82,116.98,11.13,0,0,41.47,0,0,0,50.32,9.86,0,0,0,21.65,0,0,0,309.9,0,5.05,4.64,0,0,3.64,0,0,60.93,0,0,4.07,3.65,0,0,0,0
