stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,7020.91,139564.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6277.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,7203.97,78456.86,0,10.71,0,0,0,0,0,0,0,0,0,150.52,0,0,0,0,0,0,0,0,0,0,0,2625.2,218.77,0,0,402.14,0,1546.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,402.3,278.71,0,453.76,0,0,0,685.01,0,0,0,0,0,366.69,0,0,0,0,0,0,0,0,0,0,0,9819.71,385.14,0,0,3415.17,0,26.79,578.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.61,0,87.32,0,7.97,0,226.48,0,0,0,0,0,64.44,0,0,0,0,0,0,0,0,0,0,0,1525.91,114.96,0,0,617.68,0,0,222.19,0,67.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.36,75.67,38.31,0,69.72,0,0,0,4.14,5.12,5.29,0,0,0,0,1.14,0,0,58.97,0,0,37.74,556.38,11.36,0,4.63,14.05,0,4.29,64.91,69.9,2,2.01,170.55,121.03,0,0,8.08,0,1.17
 24-34,0,0,0,1.96,11.25,0,0,34.49,0,0,0,3.22,2.01,0.66,2.24,0.64,1.73,0,2.34,1.71,0,62.78,0,0,26.4,401.69,3.04,0,3.93,0,0,2.91,4.42,0,0,0,12.74,72.59,0,0,15.77,0,0
 36-46,0,0,0,0.96,1.73,0,0,17.17,0,0,0.6,3.95,1.36,0,0,0,0,0,0.68,0,0,18.27,0,0,10.13,246.77,0.66,0,5.71,0,0,4.37,4.87,6.43,0.78,0,0,57.68,0,0,7.59,0,0
 48-58,0,0,0,0,3.26,1.98,0,46.75,0.4,0,1.97,14.43,0,1.99,0,0,4.54,0.41,1.85,0,0,22.05,0.52,0,10.46,200.88,0,2.7,1.04,0,0,0.9,0,0,0,0,0,47.81,0,0,1.93,0,6.87
 60-70,0,0,0,0,6.56,0,0,82.25,0,0,3.25,5.99,3.02,0,0,4.08,0,0,4.59,0,0,33.16,0,0,4.27,158.49,0,0,0,0,1.13,3.41,0,0,0,0,0,38.58,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,86.69,0,0,11.41,22.33,0,0,0,0,0,0,0.61,4.06,0,34.98,0,2.6,2.52,175.1,0,0,1.06,0,0,0.77,0,0,0,0.53,0,25.38,0,1.62,13.48,0,3.71
 84-94,0,0,0,0,0.67,0.87,0,29.93,0,0,3.47,24.34,1.39,2.87,0,0.68,0.82,0.82,0.65,0,2.53,45.45,0.61,0,3.69,171.09,0,0,9.14,0,0,0,0,0,2.42,0,0,21.57,0,1.31,2.63,0,0
 96-106,0,0,0,0,7.96,0.69,0,87.86,0.57,0.96,6.8,52.63,2.91,0,2.2,3.75,0,0,0,0,0,88.02,2.53,2.02,19.92,222.46,0,9.4,12.26,0,0,3.55,0,0,0.7,6.18,0,22.85,0,1.15,18.23,1.96,0
108-118,0,0,0.88,1.47,4.99,1.46,5.87,75.45,0,2.79,7.74,30.55,6.79,0,0,0.55,0,2.53,0,2.28,0,82.03,0,0,8.64,202.42,0,4.25,6.71,0,0,0,0,0,0,0,0,6.97,0.96,2.44,4.23,0,3.63
120,0,0,12.25,0,20.53,19.21,1.6,87.95,0,0,8.7,110.48,4.01,0,7.69,2.13,0,0,0,0,0,151.15,0,0,18.62,484.77,0,3.09,7.92,0,0,0,0,0,1.74,1.99,0,15.62,0,1.46,9.29,1.99,0
