stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,1.92,0,2.78,1.02,0,1.08,0,2.9,0,2.06,84.96,1.29,0,0,0.8,0,5.89,4.98,10.31,0,0
 24-34,3.32,0,10.4,0,0,0,0.7,8.31,0,2.56,115.65,0,0.61,0,0,0,0,1.52,22.46,6.98,0
 36-46,0,0,14,10.81,0,0,0,6.84,0.57,2.05,39.88,0,0,0.97,0,4.56,0,0,14.27,0,0
 48-58,0,0,20.75,7.4,0,0,0,6.02,0.91,1.53,32.3,0,0,0,0,0.49,0,0,7.81,0,0
 60-70,0,0,14.28,7.66,0,0,0,6.79,0,7.01,10.75,0,0,0,0,0,0,0,0.85,0,0
 72-82,0.51,0,8.94,1.12,0,0,0,2.84,0,2.65,4.42,0,0,1.51,0,1.04,0,0,0.58,0.5,0
 84-94,0,0,0,0.57,0,0,0,13.21,0,0,3.41,0,0,0,0,0,0,0,6.47,0,0
 96-106,1.05,5.84,4.65,0.79,0.96,0,0,1.29,0,1.03,7.4,0,0.57,1.8,0,0,0,0,0,0,1.9
108-118,0,0,0,4.02,0,0.44,0,2.87,0,0,6,0,0,0,0,0,0,0,3.17,0,0
120,5.25,0,2.68,1.45,0,0,0,0,0,2.81,23.02,0,0,0,0,0,0,0,4.01,0,0
