stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0,0
12hpf,9.64,0,0,0,1.93,0,0,1.93,7.71,7.71
14hpf,3.34,0,0,0,0,0,0,0,0,6.69
16hpf,2.05,0,0,0,0,0,0,0,10.25,4.1
19hpf,8.76,0,0,2.19,0,0,0,0,0,2.19
24hpf,11,0,2,1,1,5,1,0,4,2
2dpf,98.42,0.83,10.01,9.17,38.37,62.56,6.67,1.67,19.18,18.35
3dpf,333.29,3.45,0,5.75,5.17,81.02,2.3,0,2.87,13.79
5dpf,38.76,3.1,7.24,10.34,8.79,62.54,5.69,0,9.3,34.11
10dpf,103.54,3.14,4.39,10.04,2.51,53.34,3.77,0,5.65,6.28
