stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,5780.85,103.23,30.97,0,774.22,61.94,0,175.49,2116.2,2043.94
12hpf,5131.67,140.73,36.63,138.8,1127.73,117.59,7.71,291.09,1958.59,1513.28
14hpf,4658,80.25,140.44,260.82,859.37,310.98,76.91,107,1354.26,1571.62
16hpf,4099.58,180.47,205.08,278.91,1199.73,408.11,121,174.32,1347.39,1800.62
19hpf,6547.85,45.97,83.19,179.51,799.05,236.43,177.32,78.81,496.94,1832.35
24hpf,4782,87,368,317,1270,489,215,33,1042,890
2dpf,2085.19,41.7,149.3,335.3,1126,1811.61,206.02,54.21,648.08,914.15
3dpf,6071.7,86.2,160.33,169.52,183.31,2504.88,77,1.15,215.49,491.9
5dpf,888.43,106.98,422.77,487.37,208.8,2585.18,190.71,172.1,464.63,1870.92
10dpf,3069.26,134.92,436.14,372.75,124.88,2198.25,107.94,4.39,293.69,429.23
