stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,134.2,92.91,0,0,103.23,0,0,0,0,61.94
12hpf,63.62,36.63,0,36.63,131.09,21.21,0,0,11.57,36.63
14hpf,3.34,13.38,6.69,33.44,110.35,20.06,0,0,6.69,63.53
16hpf,6.15,0,0,6.15,49.22,8.2,0,0,2.05,69.73
19hpf,0,0,0,0,17.51,19.7,0,0,0,56.92
24hpf,4,0,0,8,79,34,0,0,0,8
2dpf,22.52,0.83,7.51,14.18,146.8,260.23,5,0.83,63.39,26.69
3dpf,170.09,1.15,8.05,5.75,30.46,294.79,0.57,0,12.64,20.11
5dpf,9.3,2.07,20.67,22.74,12.92,250.15,3.1,1.55,25.32,69.26
10dpf,361.46,3.77,18.83,15.69,8.16,163.79,2.51,0,28.87,16.94
