stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0,0
12hpf,0,0,0,0,1.93,0,0,1.93,1.93,1.93
14hpf,6.69,0,0,0,3.34,0,0,0,0,16.72
16hpf,4.1,0,0,2.05,4.1,0,0,2.05,0,12.3
19hpf,4.38,0,0,0,2.19,0,0,0,0,6.57
24hpf,3,0,0,2,5,1,0,0,0,6
2dpf,78.4,1.67,2.5,14.18,10.01,56.72,5,2.5,3.34,48.38
3dpf,114.35,0.57,1.15,8.62,12.64,48.27,4.6,0,2.87,13.22
5dpf,74.42,3.1,2.58,34.11,7.24,46.51,12.92,4.65,7.24,67.7
10dpf,79.07,1.88,2.51,15.69,6.28,22.59,5.65,0,1.26,14.43
