stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,165.17,30.97,0,0,92.91,10.32,0,61.94,72.26,268.4
12hpf,813.51,94.46,5.78,48.19,435.67,115.67,1.93,258.32,370.13,853.99
14hpf,384.54,36.78,13.38,120.38,187.26,86.94,6.69,113.69,120.38,1230.54
16hpf,389.66,61.52,8.2,96.39,246.1,69.73,18.46,155.86,176.37,1519.66
19hpf,461.92,6.57,2.19,102.89,207.97,63.49,24.08,67.86,59.11,1422.97
24hpf,186,20,4,48,248,55,18,25,59,680
2dpf,396.19,12.51,5,90.91,454.57,505.45,150.97,11.68,131.78,476.26
3dpf,498.79,47.12,4.02,42.52,87.92,880.36,27.58,0,53.44,236.18
5dpf,188.13,24.81,6.2,66.67,56.85,487.89,35.66,22.74,80.63,637.77
10dpf,178.85,40.79,4.39,45.81,39.53,382.17,27.61,1.26,49.58,91.62
