stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,268.4,0,0,0,51.61,0,0,0,144.52,30.97
12hpf,71.33,1.93,3.86,1.93,11.57,3.86,0,5.78,32.77,40.48
14hpf,157.16,3.34,0,10.03,30.09,16.72,0,3.34,63.53,33.44
16hpf,231.74,20.51,26.66,22.56,127.15,47.17,12.3,12.3,223.54,102.54
19hpf,1341.97,13.14,45.97,56.92,179.51,70.05,63.49,8.76,227.68,295.54
24hpf,415,10,92,8,102,43,23,2,208,71
2dpf,260.23,8.34,19.18,28.36,112.6,206.85,46.71,4.17,100.09,75.07
3dpf,700.49,31.61,35.63,37.35,21.84,338.47,13.79,0,29.88,49.99
5dpf,151.95,24.81,75.97,69.77,38.76,408.81,29.46,27.39,95.61,347.83
10dpf,372.75,71.54,84.09,72.17,25.1,456.22,23.85,0,96.01,69.03
