stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1548.44,20.65,10.32,0,278.72,10.32,0,154.84,495.5,712.28
12hpf,4113.82,138.8,26.99,140.73,1089.18,194.7,13.49,333.5,1964.38,1360.99
14hpf,3905.63,66.88,180.57,254.13,869.4,407.95,76.91,123.72,1548.21,1802.34
16hpf,3445.37,162.01,338.38,268.66,1183.32,463.48,118.95,200.98,1814.97,1989.29
19hpf,4255.77,21.89,164.19,205.78,547.3,243,175.13,87.57,648,1919.91
24hpf,3323,32,811,145,638,324,214,35,1742,786
2dpf,1694.01,36.7,149.3,167.65,588.02,1215.25,192.67,32.53,492.94,805.72
3dpf,4833.34,83.9,133.89,99.99,93.67,1307.89,45.97,0.57,128.15,306.29
5dpf,471.86,58.4,249.63,239.29,92.51,1041.41,95.1,69.26,265.13,1258.48
10dpf,1337.9,110.45,329.45,177.59,59.62,849.68,51.46,0.63,132.41,198.93
