stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,144.52,0,0,0,0,0,0,0,0,30.97
12hpf,208.2,7.71,0,0,0,0,0,0,1.93,34.7
14hpf,100.32,0,0,16.72,3.34,0,0,0,3.34,414.64
16hpf,100.49,0,6.15,30.76,8.2,2.05,0,2.05,10.25,445.03
19hpf,216.73,0,0,30.65,17.51,0,0,0,0,409.38
24hpf,232,0,7,1,87,19,1,0,33,103
2dpf,166.82,2.5,7.51,32.53,151.8,287.76,5.84,3.34,25.86,86.74
3dpf,613.72,4.6,2.87,25.86,25.28,461.44,1.72,0,6.32,26.43
5dpf,88.89,7.24,5.69,52.2,29.46,428.45,3.1,2.58,17.06,79.59
10dpf,194.54,11.3,6.28,61.5,18.83,511.44,0.63,0,17.57,21.34
