stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,10.32,0
12hpf,26.99,1.93,0,0,9.64,0,0,3.86,9.64,7.71
14hpf,0,0,0,0,3.34,3.34,0,0,0,3.34
16hpf,26.66,4.1,0,0,4.1,2.05,0,2.05,2.05,14.36
19hpf,17.51,0,0,0,0,0,0,0,0,0
24hpf,24,0,0,3,5,0,0,0,1,4
2dpf,85.91,1.67,4.17,11.68,34.2,70.9,5,0.83,19.18,29.19
3dpf,139.64,4.02,1.15,5.75,4.6,35.05,1.15,0,5.17,24.71
5dpf,34.11,5.69,8.79,14.99,8.27,75.97,5.17,4.65,20.67,88.38
10dpf,86.6,8.79,2.51,11.92,4.39,58.99,4.39,0,6.28,9.41
