stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,10.32,0,0
12hpf,0,0,0,0,0,0,0,15.42,3.86,0
14hpf,36.78,0,0,0,0,0,0,26.75,6.69,0
16hpf,57.42,0,0,0,0,0,0,24.61,6.15,2.05
19hpf,116.03,0,0,2.19,0,0,0,15.32,0,4.38
24hpf,182,0,0,2,1,0,1,7,3,3
2dpf,88.41,0,5,6.67,26.69,55.88,10.84,1.67,37.53,15.01
3dpf,1332.03,3.45,5.17,2.3,0.57,72.41,1.15,0,6.32,4.6
5dpf,26.88,1.03,5.17,6.2,5.17,105.43,3.62,0.52,16.02,18.09
10dpf,385.93,9.41,5.65,3.77,4.39,115.47,1.26,0,8.16,2.51
