stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,61.94,0,20.65,0,10.32,0,0,10.32,20.65,51.61
12hpf,46.27,7.71,1.93,0,21.21,0,0,59.76,25.06,63.62
14hpf,40.13,3.34,16.72,10.03,13.38,13.38,0,33.44,20.06,163.85
16hpf,57.42,6.15,2.05,6.15,22.56,16.41,4.1,38.97,45.12,127.15
19hpf,70.05,0,8.76,6.57,24.08,2.19,8.76,21.89,0,87.57
24hpf,38,1,44,6,9,10,11,4,18,35
2dpf,271.91,10.01,24.19,59.22,156.81,376.17,51.71,15.85,114.27,282.75
3dpf,639.58,18.39,12.64,27.58,28.73,334.44,13.22,0,26.43,81.6
5dpf,128.69,21.19,49.62,66.15,31.53,321.47,33.59,21.71,61.5,334.39
10dpf,390.95,35.77,40.79,50.2,21.96,319.41,16.94,1.26,46.44,100.41
