stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1703.29,0,0,0,51.61,0,0,144.52,598.73,805.19
12hpf,358.56,3.86,0,3.86,46.27,5.78,0,185.06,466.52,306.51
14hpf,207.32,3.34,0,96.97,26.75,20.06,6.69,70.22,601.9,341.07
16hpf,123.05,34.86,2.05,73.83,20.51,8.2,0,53.32,254.3,338.38
19hpf,122.59,6.57,0,43.78,4.38,2.19,2.19,10.95,83.19,282.4
24hpf,122,13,0,7,9,5,15,9,32,210
2dpf,112.6,13.35,4.17,38.37,25.02,42.54,12.51,1.67,13.35,263.57
3dpf,657.39,15.52,0.57,16.09,7.47,55.17,0,0,6.32,62.64
5dpf,100.26,23.26,5.17,65.64,7.24,65.12,5.17,41.35,24.29,335.42
10dpf,237.21,6.28,2.51,17.57,5.65,15.69,3.14,0,6.28,20.08
