stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,2281.37,20.65,30.97,0,268.4,30.97,0,82.58,1021.97,732.93
12hpf,4210.21,109.88,36.63,107.95,873.27,144.58,13.49,169.64,2027.99,1314.73
14hpf,2079.88,20.06,143.79,143.79,381.2,177.22,40.13,23.41,1026.57,658.74
16hpf,2530.71,84.08,242,159.96,738.29,317.88,57.42,71.78,1320.73,1105.39
19hpf,2909.43,26.27,124.78,63.49,299.92,100.7,107.27,15.32,483.81,521.03
24hpf,2108,36,319,47,356,187,111,2,1144,326
2dpf,864.1,63.39,112.6,124.28,397.02,701.46,134.29,13.35,360.32,281.92
3dpf,2179.05,131.02,55.17,73.55,34.48,457.42,27.01,0,87.92,160.33
5dpf,369.02,65.64,163.32,214.48,62.02,842.95,63.05,44.96,323.02,716.84
10dpf,831.48,119.86,117.35,165.67,69.66,769.36,39.53,1.88,204.58,166.92
