stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,196.14
12hpf,0,0,0,0,3.86,0,0,0,1.93,138.8
14hpf,26.75,3.34,3.34,13.38,6.69,0,0,0,13.38,344.42
16hpf,51.27,0,0,45.12,20.51,0,0,2.05,20.51,358.89
19hpf,56.92,0,0,43.78,2.19,8.76,0,2.19,0,540.73
24hpf,26,0,0,52,25,9,2,0,23,371
2dpf,412.03,1.67,4.17,90.91,98.42,106.76,50.88,0.83,120.94,477.93
3dpf,367.2,42.52,1.72,32.75,25.86,108.03,34.48,0,31.61,236.75
5dpf,329.74,73.39,13.44,101.3,17.57,119.39,38.25,2.58,62.54,836.23
10dpf,259.17,89.11,9.41,51.46,16.32,90.36,38.28,0.63,40.16,224.03
