stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,10.32,0,0,0,0,0,30.97,10.32,30.97
12hpf,19.28,13.49,0,3.86,7.71,5.78,0,46.27,1.93,40.48
14hpf,6.69,3.34,0,3.34,6.69,6.69,0,3.34,0,63.53
16hpf,45.12,18.46,6.15,18.46,20.51,6.15,0,12.3,4.1,53.32
19hpf,28.46,0,2.19,6.57,13.14,0,4.38,2.19,0,111.65
24hpf,43,3,8,4,12,5,14,3,8,33
2dpf,212.69,5.84,26.69,40.87,87.58,267.74,20.85,1.67,51.71,415.37
3dpf,655.1,25.28,13.79,20.69,28.73,285.6,9.19,0,21.26,291.92
5dpf,76.49,72.87,48.58,56.33,17.06,195.88,25.84,8.27,36.18,882.74
10dpf,286.78,148.1,43.3,55.22,20.71,276.74,8.79,0,32,344.52
