stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,123.88,30.97,0,0,30.97,10.32,0,0,41.29,82.58
12hpf,628.45,53.98,0,52.05,213.98,28.92,0,82.89,308.44,304.58
14hpf,287.57,20.06,56.85,76.91,224.04,80.25,6.69,13.38,113.69,310.98
16hpf,471.69,57.42,186.62,114.85,324.03,104.59,28.71,32.81,209.18,488.09
19hpf,402.81,4.38,89.76,89.76,151.05,41.59,30.65,0,65.68,197.03
24hpf,282,8,505,110,199,91,48,3,142,82
2dpf,437.06,30.86,41.7,121.78,289.42,506.28,78.4,15.85,163.48,101.76
3dpf,1071.14,53.44,36.78,78.15,78.15,817.15,33.33,0,52.29,41.95
5dpf,246.01,47.55,116.8,251.18,60.47,725.63,51.17,54.27,115.25,198.46
10dpf,444.92,71.54,131.15,133.66,28.24,489.48,28.24,1.26,78.44,43.93
