stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,10.32,0,0,10.32,10.32,10.32
12hpf,15.42,0,0,0,11.57,0,0,0,13.49,3.86
14hpf,36.78,3.34,3.34,3.34,13.38,0,0,0,0,3.34
16hpf,24.61,6.15,6.15,0,8.2,0,0,2.05,6.15,12.3
19hpf,186.08,0,0,2.19,6.57,2.19,0,0,0,6.57
24hpf,54,0,2,3,13,6,0,0,6,3
2dpf,116.77,0,7.51,24.19,81.74,86.74,12.51,2.5,31.69,55.05
3dpf,487.3,4.02,12.64,7.47,18.96,156.88,5.17,0,13.79,16.09
5dpf,58.4,5.69,27.91,19.64,19.64,172.1,14.99,7.75,20.16,95.61
10dpf,198.93,1.26,13.81,10.04,0.63,43.3,1.88,0,3.77,7.53
