stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,299.37,0,0,0,0,10.32,0,0,0,0
12hpf,487.72,1.93,0,102.17,11.57,0,0,0,1.93,5.78
14hpf,839.31,0,63.53,180.57,83.6,53.5,13.38,0,13.38,6.69
16hpf,303.52,4.1,24.61,196.88,71.78,88.19,36.91,0,6.15,20.51
19hpf,527.59,4.38,0,105.08,4.38,15.32,19.7,0,0,2.19
24hpf,132,0,1,65,4,4,5,0,3,2
2dpf,61.72,0,1.67,30.86,11.68,6.67,1.67,0,0,5.84
3dpf,104.01,0.57,0,42.52,2.87,9.77,0.57,0,0.57,8.05
5dpf,50.65,0.52,0.52,65.64,1.03,3.62,0.52,1.03,2.58,12.92
10dpf,72.17,1.26,0,67.15,0,3.14,1.26,0,2.51,12.55
