stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0,0
12hpf,0,1.93,0,0,0,1.93,0,0,0,5.78
14hpf,0,3.34,0,6.69,0,0,0,0,0,0
16hpf,2.05,0,0,0,2.05,2.05,0,0,0,2.05
19hpf,6.57,0,0,4.38,2.19,0,0,0,0,4.38
24hpf,2,0,0,25,2,1,0,0,0,1
2dpf,131.78,0,15.01,199.34,70.06,105.93,25.86,5.84,26.69,64.22
3dpf,301.11,10.34,5.75,90.22,9.19,107.46,4.02,0,5.17,26.43
5dpf,51.17,9.82,22.74,220.69,13.95,124.56,13.44,7.75,24.29,111.12
10dpf,149.98,11.92,33.26,122.37,10.04,116.09,13.81,0,19.45,31.38
