stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,10.32,0,10.32,0,0,0,0,0
12hpf,7.71,1.93,17.35,0,1.93,0,0,3.86,3.86,7.71
14hpf,30.09,0,3.34,0,0,0,0,0,0,10.03
16hpf,14.36,0,6.15,4.1,10.25,4.1,0,2.05,12.3,14.36
19hpf,35.03,0,0,0,2.19,0,0,0,0,2.19
24hpf,41,0,3,5,8,4,1,0,3,3
2dpf,203.51,5,13.35,26.69,55.05,105.09,18.35,5,38.37,50.88
3dpf,587.86,6.9,6.9,11.49,7.47,120.68,5.17,0,7.47,16.09
5dpf,63.57,8.79,25.84,39.28,8.27,93.03,9.82,7.75,18.09,79.59
10dpf,454.96,15.06,28.87,31.38,11.3,156.26,11.92,0,16.32,29.49
