stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0,10.32
12hpf,13.49,0,1.93,1.93,3.86,0,0,1.93,7.71,9.64
14hpf,70.22,0,0,16.72,26.75,16.72,3.34,3.34,26.75,13.38
16hpf,94.34,4.1,2.05,8.2,57.42,30.76,12.3,4.1,69.73,36.91
19hpf,81,0,2.19,2.19,13.14,2.19,4.38,4.38,4.38,10.95
24hpf,61,1,3,2,19,13,2,0,23,12
2dpf,174.32,6.67,11.68,10.84,114.27,186,16.68,1.67,65.06,29.19
3dpf,474.08,9.19,6.32,13.79,13.22,175.84,5.17,0,18.39,10.34
5dpf,50.13,5.17,25.84,26.36,17.57,152.46,9.3,5.69,32.56,58.92
10dpf,129.27,7.53,16.94,16.94,5.65,123,6.9,0,13.81,5.65
