stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,3953.69,41.29,30.97,0,640.02,30.97,0,41.29,1765.22,1249.08
12hpf,4003.94,88.68,32.77,125.3,1023.64,140.73,3.86,63.62,2035.7,1023.64
14hpf,2608.21,16.72,140.44,120.38,555.08,153.82,43.47,16.72,1150.29,498.24
16hpf,2200.53,86.13,151.76,116.9,623.45,139.46,57.42,45.12,931.07,574.23
19hpf,3270.64,17.51,30.65,45.97,391.86,98.51,70.05,4.38,282.4,468.49
24hpf,1198,7,114,31,302,66,22,2,64,94
2dpf,472.09,16.68,47.54,55.88,309.44,153.47,42.54,3.34,79.24,123.44
3dpf,915.98,14.94,23.56,22.99,25.86,202.28,8.05,0,16.66,41.37
5dpf,121.97,10.34,85.79,34.63,54.78,251.18,16.54,7.24,49.62,155.05
10dpf,287.41,7.53,62.75,33.26,5.02,170.69,11.3,0.63,20.71,57.11
