stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,41.29,0,10.32,0,0,0,0,0,0,51.61
12hpf,192.78,11.57,15.42,0,15.42,1.93,0,25.06,28.92,86.75
14hpf,127.07,3.34,26.75,6.69,6.69,13.38,3.34,3.34,13.38,83.6
16hpf,266.61,20.51,14.36,18.46,73.83,12.3,6.15,12.3,55.37,207.13
19hpf,146.68,0,6.57,4.38,10.95,2.19,54.73,2.19,0,76.62
24hpf,216,4,89,52,52,20,112,1,16,72
2dpf,472.09,13.35,111.77,102.59,175.16,376.17,143.46,10.84,116.77,263.57
3dpf,1247.55,18.96,63.21,40.8,34.48,507.99,18.96,0,31.03,93.09
5dpf,165.39,24.29,184.51,151.43,35.14,396.41,62.02,36.69,65.12,421.73
10dpf,535.29,39.53,143.71,110.45,34.51,573.57,40.79,0.63,64.01,104.8
