stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,82.58,0,0,0,154.84,20.65,0,20.65,103.23,237.43
12hpf,121.45,42.41,1.93,88.68,225.55,32.77,0,23.13,100.24,212.05
14hpf,93.63,13.38,13.38,83.6,107,30.09,0,3.34,40.13,160.51
16hpf,36.91,6.15,71.78,45.12,69.73,30.76,24.61,0,43.07,102.54
19hpf,54.73,4.38,28.46,30.65,45.97,4.38,13.14,4.38,6.57,94.13
24hpf,50,2,31,19,35,14,21,1,29,32
2dpf,231.04,8.34,31.69,59.22,85.08,243.55,43.37,2.5,98.42,140.12
3dpf,627.51,9.77,44.82,20.69,19.54,239.63,12.07,0,23.56,39.65
5dpf,65.64,11.89,124.56,67.7,17.57,196.91,19.64,8.79,53.75,155.57
10dpf,212.73,13.81,76.56,28.87,7.53,121.74,12.55,0,20.08,20.71
