stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,41.29,61.94,0,0,10.32,0,0,0,0,10.32
12hpf,117.59,30.84,7.71,0,36.63,3.86,0,13.49,7.71,19.28
14hpf,257.48,0,3.34,10.03,13.38,3.34,0,6.69,3.34,6.69
16hpf,295.32,2.05,2.05,0,4.1,18.46,2.05,2.05,10.25,12.3
19hpf,475.05,0,0,2.19,13.14,13.14,0,4.38,2.19,8.76
24hpf,513,1,4,6,49,34,1,2,24,16
2dpf,487.93,0.83,5.84,15.85,190.17,333.63,17.52,1.67,87.58,40.04
3dpf,2070.45,4.02,8.62,6.32,71.26,612,16.09,0,62.06,13.79
5dpf,77.01,2.07,4.65,7.75,29.46,270.82,12.4,2.07,69.26,51.68
10dpf,346.4,4.39,3.14,1.26,25.1,279.25,5.02,0,64.01,6.9
