stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,89.94,0,0,0,20.59,0,0,0,39.67,28.37
12hpf,295.44,5.58,7.32,29.43,119.77,37.45,0,53.19,123.73,226.18
14hpf,237.97,20.2,30.03,26.36,39.25,29.64,0,2.33,27.73,132.73
16hpf,439.04,51.78,33.48,31.81,124.32,101.01,32.6,19.96,99.75,329.54
19hpf,361.42,5.24,0,17.55,32.04,16.11,6.46,0,7.18,121.62
24hpf,360.84,11.67,51.94,28.42,66.7,56.43,24.69,0,44.89,133.73
2dpf,706.8,11.14,46.31,54.7,235.17,472.94,53.22,8.18,127.63,181.64
3dpf,1355.76,27.66,42.93,27.67,51.5,623.4,15.56,0,25.61,66.3
5dpf,174.02,22.37,109.18,77.04,35.2,528.88,37.94,12.6,73.56,329.48
10dpf,320.83,37.6,117.63,68.88,24.48,320.79,12.51,0.59,24.03,55.93
