stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,38.78,0,0,0,17.76,0,0,0,30.11,17.86
12hpf,32.48,2.08,0,1.77,5.8,1.93,0,1.86,14.67,15.26
14hpf,21.42,0,0,2.3,2.8,0,2.74,0,15.84,7.12
16hpf,13.48,0,1.82,1.63,7.58,5.18,0,0,21.77,13.26
19hpf,26.65,1.73,1.61,1.81,3.53,1.6,0,0,6.98,1.69
24hpf,14.34,1.82,1.75,0.91,7.27,4.5,0.9,0,6.48,0
2dpf,119.49,1.27,4.24,8.31,42.09,85.02,16.58,1.54,26.73,18.43
3dpf,183.17,5.61,0.72,3.85,6.3,83.35,3.17,0,4.58,5.69
5dpf,45.07,2,6.85,14.73,11.31,131.82,9.66,6.43,24.5,55.29
10dpf,116.97,7.92,5.12,17.38,2.52,112.75,6.04,1.18,18.84,10.06
