stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,429.02,0,9.99,0,148.3,0,0,0,254.34,163.55
12hpf,496.17,19.59,31,24.98,153.79,29.2,0,9.07,379.98,167.29
14hpf,265.45,5.76,10.79,33.31,112.97,30.85,9.05,0,169.26,130.61
16hpf,567.23,14.05,24.79,22.22,156.79,60.46,11.05,9.09,168.52,155.64
19hpf,721.96,5.15,7.7,8.19,56.68,15.75,12.55,0,33.87,57.83
24hpf,566.34,6,32.37,19.49,123.7,56.52,38.74,3.08,81.03,67.42
2dpf,568.31,20.8,44.78,62.85,227.57,293.37,86.52,3.59,124.63,117.26
3dpf,715.47,14.21,10.82,19.55,19.46,177.11,9.18,0,20.57,37.08
5dpf,211.32,24.3,82.85,98.87,46.47,445.47,40.46,16.73,111.2,302.25
10dpf,542.43,55.02,61.54,89.35,26.23,378.9,23.58,0.51,89.42,78.02
