stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1176.24,22.46,60.86,0,212.54,9.76,0,21.05,343.85,199.32
12hpf,3078.66,26.98,46.06,70.2,578.1,22.66,2.38,91.28,890.02,392.03
14hpf,1401.04,11.25,176.15,113.46,344.88,116.05,10.45,53.81,381.55,252.33
16hpf,2503.69,95.17,422.79,152.23,937.21,245.96,70.25,68.67,956.08,658.25
19hpf,3542.38,8.78,197.23,114.31,425.18,73.79,144.38,18.01,188.15,643.17
24hpf,3641.43,40.27,1180.68,320.14,944.07,214.67,388.27,4.71,847.77,479.66
2dpf,2752.06,27.22,667.69,318.11,936.11,873.56,984.52,26.17,363.68,444.64
3dpf,7569.65,73.86,612.12,171.43,137.74,1228.51,72.38,0,95.39,215.26
5dpf,874.12,66.17,909.57,434.24,152.33,1236.43,274.78,44.77,215.92,630.09
10dpf,5053.68,388.97,1528.51,566.63,112.8,1563.93,362.13,3.21,244.46,357.87
