stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,22955.58,403.06,79.81,0,4279.43,320.91,0,816.51,9120.05,7632.42
12hpf,26867.34,838.11,77.22,798.89,6664.22,1228.39,75.02,1598.3,12623.71,7947.1
14hpf,12472.53,179.02,529.76,737.61,2687.44,1235.48,194.15,249.73,4411.75,3768.8
16hpf,12620.85,485.1,1083.88,834.98,3975.58,1677.94,429.94,458.49,5210.66,5026.72
19hpf,11790.55,108.09,271.42,334.88,1386.55,656.89,362.21,104.07,1217.33,2653.71
24hpf,10067.54,150.13,1284.83,398.59,2079.41,1022,446.26,53.58,2300.04,1492.47
2dpf,3629.19,90.72,188.35,282.61,1285.58,2139.59,297.75,34.03,753.74,719.31
3dpf,5940.59,66.42,81.79,117.34,91.99,1358.35,44.17,0.53,115.77,224.39
5dpf,741.49,77.57,308.83,325.86,170.98,1674.49,146.74,72.34,375.55,1168.58
10dpf,1588.23,97.08,207.56,177.02,63.29,958.48,54.39,1.39,127.47,192.98
