stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,155.88
12hpf,0,0,0,0,0,0,0,8.63,0,8.95
14hpf,0,0,0,0,0,3.26,0,0,0,394.66
16hpf,5.33,1.68,1.83,0,0,1.66,0,0,0,92.92
19hpf,4.94,0,2.15,0,1.9,0,4.36,1.57,0,468.71
24hpf,1.85,2.87,2.03,2.7,1.77,0,9.25,0,0,63.92
2dpf,87.41,11.74,10.05,22.29,64.64,119.28,50.7,5.66,35.88,385.94
3dpf,178.47,11.97,3.3,9.44,11.55,138.59,2.56,0,9.98,127.87
5dpf,48.98,11.7,27.31,32.14,15.33,203.92,19.06,3.42,28.78,444.3
10dpf,196.19,26.84,31.44,30.64,22.21,216.31,41.37,0.71,17.41,147.69
