stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.38,0,0,0,0,0,0,0,0,0
12hpf,8,0,0,0,0,0,0,0,0,0
14hpf,113.15,0,0,0,0,0,0,0,2.57,0
16hpf,44.38,0,0,0,0,0,0,0,0,0
19hpf,386.5,0,0,0,0,0,3.23,0,0,0
24hpf,247.91,0,0.88,0.84,3.81,0,5.54,0,6.61,5.3
2dpf,392.54,0,10.73,10.96,24.3,41.19,5.65,0,16,23.61
3dpf,1252.15,3.62,1.66,2.74,1.91,35.43,0,0,3.45,8.37
5dpf,94.13,1.6,5.82,8.69,2.96,44.39,1.92,1.62,4.04,15.75
10dpf,456.92,6.37,3.12,2.86,1.57,14.76,0.83,0,0.9,11.39
