stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9.22,0,0,0,0,0,0,0,0,0
12hpf,3.82,0,0,0,0,0,0,0,0,0
14hpf,4.8,3.83,0,5.07,0,0,0,0,6.39,4.72
16hpf,0,0,0,0,1.71,0,0,0,0,1.74
19hpf,3.19,0,0,0,0,0,0,0,0,2.21
24hpf,10.95,0,0,0.87,2.61,2.55,0,0,1.74,3.64
2dpf,186.81,0.55,12.99,49.65,80.32,159.5,33.89,2.23,48.22,136.55
3dpf,406.47,4.47,22.54,13.33,29.52,315.56,17.35,0,25.42,70.19
5dpf,60.29,14.78,54.05,72.54,28.11,283.99,25.19,5.95,26.27,287.67
10dpf,478.75,42.19,52.07,79.49,33.25,414.22,17.82,0,48.94,123.7
